task,memory_gb,thread,time,cpu_time
bam2bed,3.009937,4,00:01:02,00:04:08
busco,0.558689,4,00:00:27,00:01:48
canu,6.983616,1,02:42:46,02:42:46
checkm,1.079258,4,00:02:10,00:08:40
checkm_marker,0.42062,1,00:00:10,00:00:10
circlator,8.003086,4,03:40:08,14:40:32
fastp,3.999508,4,00:01:39,00:06:36
minimap2,7.999496,4,00:07:19,00:29:16
multiqc,0.687016,1,00:00:40,00:00:40
prokka,1.109554,4,00:06:12,00:24:48
quast,3.99947,4,00:19:56,01:19:44
seqkit_sort,0.164173,4,00:00:05,00:00:20
sequana_coverage,2.542664,1,00:04:12,00:04:12
