task,memory_gb,thread,time,cpu_time
bam2bed,3.006027,4,00:01:04,00:04:16
busco,0.68409,4,00:00:37,00:02:28
canu,7.96463,1,00:40:08,00:40:08
checkm,1.294426,4,00:02:55,00:11:40
checkm_marker,0.632286,1,00:00:11,00:00:11
fastp,3.999676,4,00:00:52,00:03:28
fastp,3.999508,4,00:00:52,00:03:28
fastp,3.999523,4,00:01:47,00:07:08
minimap2,7.999546,4,00:07:35,00:30:20
multiqc,0.375584,1,00:00:22,00:00:22
prokka,1.183109,4,00:07:04,00:28:16
quast,3.999535,4,00:20:37,01:22:28
seqkit_sort,0.154285,4,00:00:03,00:00:12
sequana_coverage,2.726048,1,00:03:32,00:03:32
