task,memory_gb,thread,time,cpu_time
bam2bed,2.973804,4,00:01:06,00:04:24
bandage,0.167389,1,00:00:03,00:00:03
busco,0.567417,4,00:00:29,00:01:56
checkm,1.247242,4,00:02:11,00:08:44
checkm_marker,0.425186,1,00:00:08,00:00:08
circlator,7.999588,4,07:36:05,1-06:24:20
fastp,3.999725,4,00:00:31,00:02:04
fastp,3.999489,4,00:01:02,00:04:08
fastp,3.999424,4,00:01:40,00:06:40
flye,15.997921,4,00:52:51,03:31:24
minimap2,7.913544,4,00:06:56,00:27:44
multiqc,0.530781,1,00:00:24,00:00:24
prokka,1.124603,4,00:05:56,00:23:44
quast,3.999489,4,00:19:04,01:16:16
seqkit_sort,0.228111,4,00:00:04,00:00:16
sequana_coverage,2.733845,1,00:03:04,00:03:04
