task,memory_gb,thread,time,cpu_time
bam2bed,2.97197,4,00:01:08,00:04:32
bandage,0.161236,1,00:00:03,00:00:03
busco,0.563763,4,00:00:26,00:01:44
checkm,1.053616,4,00:02:13,00:08:52
checkm_marker,0.547825,1,00:00:09,00:00:09
fastp,3.99968,4,00:00:50,00:03:20
fastp,3.998215,4,00:01:03,00:04:12
fastp,3.999443,4,00:01:37,00:06:28
flye,15.998096,4,00:52:23,03:29:32
minimap2,7.998051,4,00:07:03,00:28:12
multiqc,0.477352,1,00:00:24,00:00:24
prokka,1.216785,4,00:05:54,00:23:36
quast,3.999474,4,00:19:34,01:18:16
seqkit_sort,0.151363,4,00:00:02,00:00:08
sequana_coverage,2.491638,1,00:03:24,00:03:24
