task,memory_gb,thread,time,cpu_time
bam2bed,3.004227,4,00:01:04,00:04:16
busco,0.560856,4,00:00:26,00:01:44
checkm,1.042618,4,00:02:11,00:08:44
checkm_marker,0.42347,1,00:00:09,00:00:09
circlator,7.999714,4,02:54:53,11:39:32
fastp,3.999508,4,00:00:54,00:03:36
fastp,3.997993,4,00:01:02,00:04:08
fastp,3.999504,4,00:01:49,00:07:16
minimap2,7.99963,4,00:08:14,00:32:56
multiqc,0.347591,1,00:00:23,00:00:23
necat_assemble,10.633755,4,00:05:34,00:22:16
necat_bridge,8.406898,4,00:02:03,00:08:12
necat_config,0.110771,4,00:00:04,00:00:16
necat_correct,13.679672,4,00:10:17,00:41:08
prokka,1.062893,4,00:05:56,00:23:44
quast,3.999504,4,00:19:48,01:19:12
seqkit_sort,0.151497,4,00:00:03,00:00:12
sequana_coverage,2.272377,1,00:03:06,00:03:06
