task,memory_gb,thread,time,cpu_time
bam2bed,3.001755,4,00:01:02,00:04:08
busco,0.551262,4,00:00:26,00:01:44
checkm,1.376194,4,00:02:26,00:09:44
checkm_marker,0.550636,1,00:00:11,00:00:11
fastp,3.999523,4,00:00:25,00:01:40
fastp,3.999546,4,00:00:46,00:03:04
fastp,3.997925,4,00:01:58,00:07:52
minimap2,7.999504,4,00:07:13,00:28:52
multiqc,0.363358,1,00:00:25,00:00:25
necat_assemble,10.406109,4,00:05:21,00:21:24
necat_bridge,8.380562,4,00:02:03,00:08:12
necat_config,0.120209,4,00:00:03,00:00:12
necat_correct,13.737259,4,00:09:16,00:37:04
prokka,1.062847,4,00:06:12,00:24:48
quast,3.999496,4,00:19:18,01:17:12
seqkit_sort,0.142445,4,00:00:02,00:00:08
sequana_coverage,2.350388,1,00:02:54,00:02:54
