task,memory_gb,thread,time,cpu_time
bam2bed,2.93858,4,00:00:56,00:03:44
busco,0.550949,4,00:00:29,00:01:56
checkm,1.283203,4,00:01:54,00:07:36
checkm_marker,0.41679,1,00:00:09,00:00:09
fastp,3.999748,4,00:00:40,00:02:40
fastp,3.997963,4,00:00:49,00:03:16
fastp,3.997932,4,00:01:47,00:07:08
minimap2,6.182503,4,00:07:15,00:29:00
multiqc,0.35429,1,00:00:27,00:00:27
pecat_assemble,3.243771,4,00:02:31,00:10:04
pecat_config,0.153351,4,00:00:03,00:00:12
pecat_correct,8.933235,4,00:21:27,01:25:48
pecat_unzip,1.65752,4,00:06:19,00:25:16
prokka,1.233532,4,00:06:47,00:27:08
quast,3.999416,4,00:19:45,01:19:00
seqkit_sort,0.152939,4,00:00:03,00:00:12
sequana_coverage,2.437195,1,00:02:50,00:02:50
