task,memory_gb,thread,time,cpu_time
bam2bed,0.414799,4,00:00:16,00:01:04
bam_to_fastq,0.760036,4,00:00:07,00:00:28
blast,11.999493,4,00:25:18,01:41:12
busco,0.629967,4,00:00:24,00:01:36
canu,2.993134,1,00:06:29,00:06:29
ccs,3.999481,4,00:08:31,00:34:04
ccs,3.999462,4,00:12:03,00:48:12
ccs,3.99802,4,00:08:31,00:34:04
ccs,3.999454,4,00:08:42,00:34:48
ccs,3.997776,4,00:11:05,00:44:20
ccs,3.999454,4,00:09:46,00:39:04
ccs,3.99778,4,00:11:04,00:44:16
ccs,3.999382,4,00:11:29,00:45:56
ccs,3.998051,4,00:10:34,00:42:16
ccs,3.999477,4,00:11:15,00:45:00
ccs_merge,0.448875,4,00:00:17,00:01:08
checkm,1.498291,4,00:01:21,00:05:24
checkm_marker,0.749794,1,00:00:22,00:00:22
circlator,1.443401,4,00:03:57,00:15:48
fastp,2.403473,4,00:00:17,00:01:08
flowcell_merge,0.544323,4,00:00:17,00:01:08
index_bam,3.999332,1,00:09:51,00:09:51
minimap2,1.176083,4,00:00:47,00:03:08
multiqc,0.474701,1,00:00:32,00:00:32
prokka,1.154911,4,00:02:06,00:08:24
quast,1.770866,4,00:02:37,00:10:28
seqkit_head,0.183895,1,00:00:04,00:00:04
seqkit_sort,0.3498,4,00:00:07,00:00:28
sequana_coverage,1.895252,1,00:01:28,00:01:28
setup_ccs_chunk,0.189037,1,00:00:05,00:00:05
