task,memory_gb,thread,time,cpu_time
bam2bed,0.328281,4,00:00:15,00:01:00
bam_to_fastq,0.717888,4,00:00:06,00:00:24
busco,0.508423,4,00:00:14,00:00:56
canu,2.997795,1,00:06:24,00:06:24
ccs,3.998009,4,00:08:50,00:35:20
ccs,0.698452,4,00:13:13,00:52:52
ccs,3.998032,4,00:08:51,00:35:24
ccs,3.999451,4,00:09:27,00:37:48
ccs,3.997993,4,00:09:23,00:37:32
ccs,3.997982,4,00:11:32,00:46:08
ccs,3.997959,4,00:10:43,00:42:52
ccs,3.999477,4,00:10:46,00:43:04
ccs,2.208038,4,00:12:07,00:48:28
ccs,3.997772,4,00:11:40,00:46:40
ccs_merge,0.449684,4,00:00:14,00:00:56
checkm,0.895641,4,00:00:46,00:03:04
fastp,2.423923,4,00:00:12,00:00:48
flowcell_merge,0.434937,4,00:00:14,00:00:56
index_bam,3.997696,1,00:10:05,00:10:05
minimap2,1.210339,4,00:00:39,00:02:36
multiqc,0.492912,1,00:00:25,00:00:25
prokka,0.992886,4,00:01:42,00:06:48
quast,1.362156,4,00:02:00,00:08:00
seqkit_sort,0.138424,4,00:00:03,00:00:12
sequana_coverage,1.279362,1,00:02:03,00:02:03
setup_ccs_chunk,0.064838,1,00:00:03,00:00:03
