task,memory_gb,thread,time,cpu_time
bam2bed,0.309376,4,00:00:13,00:00:52
bam_to_fastq,0.714855,4,00:00:06,00:00:24
bandage,0.145004,1,00:00:04,00:00:04
busco,0.543419,4,00:00:14,00:00:56
ccs,3.997776,4,00:08:47,00:35:08
ccs,3.99947,4,00:12:39,00:50:36
ccs,3.997963,4,00:09:09,00:36:36
ccs,3.99794,4,00:09:15,00:37:00
ccs,0.857044,4,00:08:54,00:35:36
ccs,3.997974,4,00:10:24,00:41:36
ccs,0.488689,4,00:10:34,00:42:16
ccs,0.945694,4,00:10:15,00:41:00
ccs,3.997944,4,00:11:12,00:44:48
ccs,0.506123,4,00:11:10,00:44:40
ccs_merge,0.427151,4,00:00:14,00:00:56
checkm,1.138065,4,00:01:20,00:05:20
circlator,1.327259,4,00:03:45,00:15:00
fastp,2.411564,4,00:00:12,00:00:48
flowcell_merge,0.432518,4,00:00:14,00:00:56
flye,2.266209,4,00:06:44,00:26:56
index_bam,3.997662,1,00:09:40,00:09:40
minimap2,0.775055,4,00:00:43,00:02:52
multiqc,0.384747,1,00:00:35,00:00:35
prokka,0.820988,4,00:01:43,00:06:52
quast,1.368347,4,00:02:07,00:08:28
seqkit_sort,0.121193,4,00:00:02,00:00:08
sequana_coverage,1.884232,1,00:00:54,00:00:54
setup_ccs_chunk,0.064514,1,00:00:02,00:00:02
