task,memory_gb,thread,time,cpu_time
bam2bed,0.332115,4,00:00:12,00:00:48
bam_to_fastq,0.712563,4,00:00:05,00:00:20
bandage,0.272358,1,00:00:08,00:00:08
busco,0.642776,4,00:00:21,00:01:24
ccs,3.998035,4,00:08:58,00:35:52
ccs,3.999466,4,00:12:18,00:49:12
ccs,3.997887,4,00:08:58,00:35:52
ccs,3.999477,4,00:09:40,00:38:40
ccs,3.997913,4,00:09:19,00:37:16
ccs,3.99799,4,00:10:04,00:40:16
ccs,3.99789,4,00:10:13,00:40:52
ccs,3.999466,4,00:11:28,00:45:52
ccs,3.998032,4,00:10:51,00:43:24
ccs,3.999454,4,00:12:24,00:49:36
ccs_merge,0.681801,4,00:00:19,00:01:16
checkm,1.258568,4,00:01:04,00:04:16
checkm_marker,0.569866,1,00:00:16,00:00:16
fastp,2.410713,4,00:00:13,00:00:52
flowcell_merge,0.432384,4,00:00:15,00:01:00
flye,2.306568,4,00:06:44,00:26:56
index_bam,3.997742,1,00:08:34,00:08:34
minimap2,0.745098,4,00:00:39,00:02:36
multiqc,0.376453,1,00:00:15,00:00:15
prokka,1.062962,4,00:01:45,00:07:00
quast,1.467484,4,00:02:13,00:08:52
seqkit_sort,0.258923,4,00:00:05,00:00:20
sequana_coverage,1.728928,1,00:01:17,00:01:17
setup_ccs_chunk,0.064278,1,00:00:02,00:00:02
