task,memory_gb,thread,time,cpu_time
bam2bed,0.32468,4,00:00:14,00:00:56
bam_to_fastq,0.711845,4,00:00:06,00:00:24
busco,0.503403,4,00:00:13,00:00:52
ccs,0.923759,4,00:09:13,00:36:52
ccs,1.099369,4,00:13:02,00:52:08
ccs,0.787868,4,00:09:15,00:37:00
ccs,3.999481,4,00:09:30,00:38:00
ccs,0.979336,4,00:10:29,00:41:56
ccs,3.997879,4,00:10:37,00:42:28
ccs,0.82066,4,00:10:50,00:43:20
ccs,0.600323,4,00:12:25,00:49:40
ccs,3.999352,4,00:11:02,00:44:08
ccs,1.168922,4,00:12:09,00:48:36
ccs_merge,0.450077,4,00:00:18,00:01:12
checkm,1.170021,4,00:00:53,00:03:32
checkm_marker,0.423801,1,00:00:08,00:00:08
circlator,1.157692,4,00:03:36,00:14:24
fastp,2.416729,4,00:00:14,00:00:56
flowcell_merge,0.429073,4,00:00:14,00:00:56
hifiasm,1.133797,4,00:11:31,00:46:04
index_bam,3.997665,1,00:07:16,00:07:16
minimap2,0.904476,4,00:00:39,00:02:36
multiqc,0.35717,1,00:00:21,00:00:21
prokka,0.818153,4,00:01:34,00:06:16
quast,1.368801,4,00:01:59,00:07:56
seqkit_sort,0.123112,4,00:00:02,00:00:08
sequana_coverage,1.895935,1,00:01:08,00:01:08
setup_ccs_chunk,0.064335,1,00:00:02,00:00:02
