task,memory_gb,thread,time,cpu_time
bam2bed,0.324848,4,00:00:13,00:00:52
bam_to_fastq,0.711693,4,00:00:07,00:00:28
busco,0.505028,4,00:00:13,00:00:52
ccs,3.997971,4,00:09:04,00:36:16
ccs,0.530663,4,00:14:37,00:58:28
ccs,3.998016,4,00:09:26,00:37:44
ccs,0.713028,4,00:08:35,00:34:20
ccs,3.99799,4,00:08:44,00:34:56
ccs,0.750633,4,00:09:40,00:38:40
ccs,3.997932,4,00:10:18,00:41:12
ccs,3.999371,4,00:10:44,00:42:56
ccs,0.963512,4,00:11:15,00:45:00
ccs,0.965801,4,00:12:12,00:48:48
ccs_merge,0.423588,4,00:00:16,00:01:04
checkm,0.916939,4,00:00:47,00:03:08
checkm_marker,0.436298,1,00:00:11,00:00:11
fastp,2.417801,4,00:00:18,00:01:12
flowcell_merge,0.42852,4,00:00:15,00:01:00
hifiasm,1.113705,4,00:14:20,00:57:20
index_bam,3.997643,1,00:09:05,00:09:05
minimap2,1.27779,4,00:00:40,00:02:40
multiqc,0.354031,1,00:00:22,00:00:22
prokka,0.922115,4,00:01:34,00:06:16
quast,1.368725,4,00:02:00,00:08:00
seqkit_sort,0.120686,4,00:00:02,00:00:08
sequana_coverage,1.358517,1,00:01:10,00:01:10
setup_ccs_chunk,0.064217,1,00:00:03,00:00:03
