task,memory_gb,thread,time,cpu_time
bam2bed,0.29982,4,00:00:11,00:00:44
bam_to_fastq,0.726433,4,00:00:05,00:00:20
busco,0.461025,4,00:00:15,00:01:00
ccs,0.506222,4,00:08:22,00:33:28
ccs,0.542919,4,00:11:38,00:46:32
ccs,3.997902,4,00:08:53,00:35:32
ccs,3.999348,4,00:09:02,00:36:08
ccs,3.998024,4,00:09:09,00:36:36
ccs,3.997887,4,00:10:08,00:40:32
ccs,3.997917,4,00:11:34,00:46:16
ccs,0.5191,4,00:10:14,00:40:56
ccs,3.997875,4,00:10:58,00:43:52
ccs,0.524227,4,00:11:09,00:44:36
ccs_merge,0.420662,4,00:00:15,00:01:00
checkm,0.886402,4,00:00:46,00:03:04
checkm_marker,0.631062,1,00:00:14,00:00:14
circlator,2.677597,4,00:08:43,00:34:52
fastp,2.40134,4,00:00:13,00:00:52
flowcell_merge,0.433334,4,00:00:15,00:01:00
index_bam,3.997753,1,00:08:47,00:08:47
minimap2,0.99691,4,00:00:38,00:02:32
multiqc,0.369762,1,00:00:24,00:00:24
necat_assemble,9.200348,4,00:03:20,00:13:20
necat_bridge,8.232605,4,00:01:25,00:05:40
necat_config,0.112026,4,00:00:03,00:00:12
necat_correct,9.683926,4,00:04:31,00:18:04
prokka,0.851849,4,00:01:17,00:05:08
quast,1.373901,4,00:01:56,00:07:44
seqkit_sort,0.11734,4,00:00:02,00:00:08
sequana_coverage,1.695171,1,00:01:26,00:01:26
setup_ccs_chunk,0.063931,1,00:00:03,00:00:03
