task,memory_gb,thread,time,cpu_time
bam2bed,0.327366,4,00:00:13,00:00:52
bam_to_fastq,0.713161,4,00:00:06,00:00:24
busco,0.584904,4,00:00:17,00:01:08
ccs,3.999485,4,00:09:15,00:37:00
ccs,1.290005,4,00:12:45,00:51:00
ccs,3.998009,4,00:08:49,00:35:16
ccs,0.853626,4,00:09:16,00:37:04
ccs,3.997902,4,00:09:22,00:37:28
ccs,0.784882,4,00:10:28,00:41:52
ccs,3.998016,4,00:10:41,00:42:44
ccs,3.997772,4,00:12:01,00:48:04
ccs,1.004391,4,00:11:17,00:45:08
ccs,3.99934,4,00:11:38,00:46:32
ccs_merge,0.444286,4,00:00:14,00:00:56
checkm,1.223621,4,00:00:52,00:03:28
fastp,2.506641,4,00:00:13,00:00:52
flowcell_merge,0.45533,4,00:00:16,00:01:04
index_bam,3.997681,1,00:08:57,00:08:57
minimap2,0.926735,4,00:00:39,00:02:36
multiqc,0.476238,1,00:00:21,00:00:21
necat_assemble,9.180298,4,00:03:04,00:12:16
necat_bridge,8.23204,4,00:01:19,00:05:16
necat_config,0.114491,4,00:00:05,00:00:20
necat_correct,9.672691,4,00:04:42,00:18:48
prokka,1.045422,4,00:01:22,00:05:28
quast,1.464111,4,00:02:06,00:08:24
seqkit_sort,0.129471,4,00:00:02,00:00:08
sequana_coverage,1.715714,1,00:00:52,00:00:52
setup_ccs_chunk,0.064262,1,00:00:02,00:00:02
