task,memory_gb,thread,time,cpu_time
bam2bed,0.309818,4,00:00:12,00:00:48
bam_to_fastq,0.712132,4,00:00:06,00:00:24
busco,0.498672,4,00:00:13,00:00:52
ccs,3.997993,4,00:09:07,00:36:28
ccs,2.610096,4,00:12:31,00:50:04
ccs,3.997967,4,00:09:09,00:36:36
ccs,3.999447,4,00:08:25,00:33:40
ccs,3.997974,4,00:09:43,00:38:52
ccs,1.968693,4,00:10:06,00:40:24
ccs,3.998013,4,00:10:40,00:42:40
ccs,3.99947,4,00:11:04,00:44:16
ccs,3.997929,4,00:11:16,00:45:04
ccs,3.997986,4,00:11:59,00:47:56
ccs_merge,0.42186,4,00:00:21,00:01:24
checkm,1.322094,4,00:01:01,00:04:04
circlator,1.168671,4,00:04:04,00:16:16
fastp,2.408619,4,00:00:13,00:00:52
flowcell_merge,0.433144,4,00:00:15,00:01:00
index_bam,3.997684,1,00:09:59,00:09:59
minimap2,1.094532,4,00:00:52,00:03:28
multiqc,0.376228,1,00:00:23,00:00:23
pecat_assemble,2.173878,4,00:01:58,00:07:52
pecat_config,0.109055,4,00:00:05,00:00:20
pecat_correct,2.991802,4,00:12:29,00:49:56
pecat_unzip,0.824787,4,00:02:38,00:10:32
prokka,1.107849,4,00:01:45,00:07:00
quast,1.369347,4,00:01:59,00:07:56
seqkit_sort,0.121319,4,00:00:02,00:00:08
sequana_coverage,1.418911,1,00:01:11,00:01:11
setup_ccs_chunk,0.063953,1,00:00:02,00:00:02
