task,memory_gb,thread,time,cpu_time
bam2bed,0.3214,4,00:00:12,00:00:48
bam_to_fastq,0.712704,4,00:00:06,00:00:24
busco,0.544296,4,00:00:15,00:01:00
ccs,3.998032,4,00:08:23,00:33:32
ccs,1.780907,4,00:11:58,00:47:52
ccs,3.997993,4,00:08:14,00:32:56
ccs,3.999485,4,00:08:38,00:34:32
ccs,3.997791,4,00:08:45,00:35:00
ccs,3.999466,4,00:09:47,00:39:08
ccs,3.99802,4,00:09:42,00:38:48
ccs,3.999516,4,00:10:05,00:40:20
ccs,3.997952,4,00:10:18,00:41:12
ccs,3.99802,4,00:10:59,00:43:56
ccs_merge,0.680599,4,00:00:31,00:02:04
checkm,1.240768,4,00:01:12,00:04:48
fastp,2.425552,4,00:00:12,00:00:48
flowcell_merge,0.435642,4,00:00:16,00:01:04
index_bam,3.99762,1,00:08:37,00:08:37
minimap2,1.184071,4,00:00:44,00:02:56
multiqc,0.376892,1,00:00:33,00:00:33
pecat_assemble,2.140755,4,00:02:19,00:09:16
pecat_config,0.114326,4,00:00:05,00:00:20
pecat_correct,3.143139,4,00:12:00,00:48:00
pecat_unzip,1.114929,4,00:02:44,00:10:56
prokka,1.151482,4,00:01:39,00:06:36
quast,1.468105,4,00:02:44,00:10:56
seqkit_sort,0.141273,4,00:00:03,00:00:12
sequana_coverage,1.419083,1,00:01:37,00:01:37
setup_ccs_chunk,0.072842,1,00:00:02,00:00:02
