task,memory_gb,thread,time,cpu_time
bam2bed,0.308403,4,00:00:11,00:00:44
bam_to_fastq,0.711319,4,00:00:05,00:00:20
bandage,0.234821,1,00:00:11,00:00:11
busco,0.500263,4,00:00:13,00:00:52
ccs,3.999229,4,00:13:20,00:53:20
ccs,3.999481,4,00:12:17,00:49:08
ccs,0.536705,4,00:09:10,00:36:40
ccs,3.999397,4,00:09:05,00:36:20
ccs,3.997921,4,00:09:22,00:37:28
ccs,3.997948,4,00:10:09,00:40:36
ccs,3.997765,4,00:10:48,00:43:12
ccs,0.773739,4,00:10:37,00:42:28
ccs,0.486423,4,00:11:18,00:45:12
ccs,3.999435,4,00:12:55,00:51:40
ccs_merge,0.421165,4,00:00:14,00:00:56
checkm,0.917328,4,00:00:47,00:03:08
checkm_marker,0.651745,1,00:00:12,00:00:12
circlator,2.979164,4,00:16:38,01:06:32
fastp,2.404835,4,00:00:13,00:00:52
flowcell_merge,0.430862,4,00:00:21,00:01:24
index_bam,3.997711,1,00:08:07,00:08:07
minimap2,0.914486,4,00:00:40,00:02:40
multiqc,0.379494,1,00:00:35,00:00:35
prokka,0.984882,4,00:01:26,00:05:44
quast,1.362362,4,00:02:00,00:08:00
seqkit_sort,0.113842,4,00:00:03,00:00:12
sequana_coverage,1.395931,1,00:01:43,00:01:43
setup_ccs_chunk,0.064583,1,00:00:02,00:00:02
unicycler,5.32262,8,00:05:10,00:41:20
