task,memory_gb,thread,time,cpu_time
bam2bed,0.311832,4,00:00:16,00:01:04
bam_to_fastq,0.711037,4,00:00:05,00:00:20
bandage,0.137917,1,00:00:04,00:00:04
busco,0.533657,4,00:00:15,00:01:00
ccs,3.999447,4,00:08:47,00:35:08
ccs,3.999454,4,00:11:39,00:46:36
ccs,3.997868,4,00:08:34,00:34:16
ccs,0.465534,4,00:09:14,00:36:56
ccs,3.997944,4,00:09:07,00:36:28
ccs,3.997993,4,00:10:10,00:40:40
ccs,3.997818,4,00:09:49,00:39:16
ccs,3.999451,4,00:10:51,00:43:24
ccs,3.997921,4,00:10:55,00:43:40
ccs,1.137474,4,00:11:50,00:47:20
ccs_merge,0.442318,4,00:00:15,00:01:00
checkm,0.913876,4,00:00:49,00:03:16
checkm_marker,0.425537,1,00:00:14,00:00:14
fastp,2.427834,4,00:00:13,00:00:52
flowcell_merge,0.430698,4,00:00:17,00:01:08
index_bam,3.997669,1,00:09:45,00:09:45
minimap2,0.75172,4,00:00:42,00:02:48
multiqc,0.371441,1,00:00:27,00:00:27
prokka,0.984722,4,00:01:35,00:06:20
quast,1.357368,4,00:02:09,00:08:36
seqkit_sort,0.113914,4,00:00:02,00:00:08
sequana_coverage,0.956699,1,00:02:11,00:02:11
setup_ccs_chunk,0.064316,1,00:00:02,00:00:02
unicycler,5.109047,8,00:04:49,00:38:32
