task,memory_gb,thread,time,cpu_time
bam2bed,1.811562,4,00:00:30,00:02:00
bam_to_fastq,4.363541,4,00:01:01,00:04:04
busco,0.65406,4,00:00:25,00:01:40
canu,13.08831,1,03:08:32,03:08:32
ccs,1.546589,4,00:09:36,00:38:24
ccs,1.685703,4,00:09:16,00:37:04
ccs,1.181564,4,00:09:24,00:37:36
ccs,1.489422,4,00:09:22,00:37:28
ccs,1.124779,4,00:09:49,00:39:16
ccs,1.708218,4,00:09:19,00:37:16
ccs,1.460541,4,00:09:14,00:36:56
ccs,1.57468,4,00:09:17,00:37:08
ccs,0.988049,4,00:09:17,00:37:08
ccs,1.518391,4,00:09:14,00:36:56
ccs_merge,2.470695,4,00:01:38,00:06:32
checkm,1.711262,4,00:01:45,00:07:00
checkm_marker,0.511265,1,00:00:14,00:00:14
circlator,7.879833,4,02:00:28,08:01:52
fastp,7.997711,4,00:01:01,00:04:04
flowcell_merge,2.297806,4,00:01:46,00:07:04
index_bam,2.687695,1,00:01:04,00:01:04
minimap2,7.541454,4,00:05:28,00:21:52
multiqc,0.538143,1,00:00:23,00:00:23
prokka,1.210655,4,00:01:49,00:07:16
quast,3.999676,4,00:06:56,00:27:44
seqkit_sort,0.34309,4,00:00:25,00:01:40
sequana_coverage,1.820843,1,00:01:59,00:01:59
setup_ccs_chunk,0.063915,1,00:00:01,00:00:01
