task,memory_gb,thread,time,cpu_time
bam2bed,1.649601,4,00:00:27,00:01:48
bam_to_fastq,4.392052,4,00:00:15,00:01:00
busco,0.50293,4,00:00:15,00:01:00
canu,12.527718,1,03:05:59,03:05:59
ccs,1.067978,4,00:09:42,00:38:48
ccs,1.186192,4,00:09:14,00:36:56
ccs,1.098774,4,00:09:26,00:37:44
ccs,1.512344,4,00:09:54,00:39:36
ccs,1.052887,4,00:09:24,00:37:36
ccs,1.208778,4,00:09:09,00:36:36
ccs,0.934479,4,00:09:17,00:37:08
ccs,1.109558,4,00:12:14,00:48:56
ccs,1.013969,4,00:09:18,00:37:12
ccs,1.193428,4,00:10:04,00:40:16
ccs_merge,2.421013,4,00:02:01,00:08:04
checkm,1.320492,4,00:01:18,00:05:12
checkm_marker,0.453438,1,00:00:12,00:00:12
fastp,7.999214,4,00:01:01,00:04:04
flowcell_merge,2.375549,4,00:01:58,00:07:52
index_bam,3.150124,1,00:01:02,00:01:02
minimap2,7.397125,4,00:05:39,00:22:36
multiqc,0.474895,1,00:00:19,00:00:19
prokka,0.960327,4,00:01:35,00:06:20
quast,3.999546,4,00:16:22,01:05:28
seqkit_sort,0.144985,4,00:00:03,00:00:12
sequana_coverage,1.606327,1,00:01:57,00:01:57
setup_ccs_chunk,0.064301,1,00:00:02,00:00:02
