task,memory_gb,thread,time,cpu_time
bam2bed,1.577259,4,00:00:25,00:01:40
bam_to_fastq,4.394035,4,00:00:25,00:01:40
bandage,0.14064,1,00:00:06,00:00:06
busco,0.671497,4,00:00:21,00:01:24
ccs,1.07188,4,00:10:02,00:40:08
ccs,1.242134,4,00:09:47,00:39:08
ccs,1.139759,4,00:09:50,00:39:20
ccs,1.102985,4,00:09:43,00:38:52
ccs,1.537033,4,00:09:48,00:39:12
ccs,1.223438,4,00:09:48,00:39:12
ccs,0.928108,4,00:09:41,00:38:44
ccs,1.069572,4,00:09:47,00:39:08
ccs,1.50491,4,00:08:43,00:34:52
ccs,1.007515,4,00:09:39,00:38:36
ccs_merge,2.327305,4,00:01:42,00:06:48
checkm,1.625729,4,00:01:42,00:06:48
checkm_marker,0.422592,1,00:00:09,00:00:09
circlator,7.99939,4,02:04:44,08:18:56
fastp,7.997707,4,00:00:59,00:03:56
flowcell_merge,2.287788,4,00:02:24,00:09:36
flye,15.562294,4,01:02:07,04:08:28
index_bam,0.119438,1,00:00:57,00:00:57
minimap2,7.427895,4,00:05:17,00:21:08
multiqc,0.607578,1,00:00:23,00:00:23
prokka,1.131226,4,00:01:45,00:07:00
quast,3.999672,4,00:16:18,01:05:12
seqkit_sort,0.130329,4,00:00:04,00:00:16
sequana_coverage,1.327194,1,00:01:43,00:01:43
setup_ccs_chunk,0.064262,1,00:00:02,00:00:02
