task,memory_gb,thread,time,cpu_time
bam2bed,1.586712,4,00:00:25,00:01:40
bam_to_fastq,4.390987,4,00:00:17,00:01:08
bandage,0.147598,1,00:00:03,00:00:03
busco,0.629108,4,00:00:18,00:01:12
ccs,1.053574,4,00:09:25,00:37:40
ccs,1.157177,4,00:11:05,00:44:20
ccs,1.715248,4,00:09:22,00:37:28
ccs,1.082802,4,00:09:54,00:39:36
ccs,1.123344,4,00:09:12,00:36:48
ccs,1.261742,4,00:11:12,00:44:48
ccs,0.910725,4,00:09:53,00:39:32
ccs,1.05381,4,00:09:06,00:36:24
ccs,1.547291,4,00:09:14,00:36:56
ccs,1.009731,4,00:09:01,00:36:04
ccs_merge,2.378799,4,00:01:45,00:07:00
checkm,1.36068,4,00:01:19,00:05:16
checkm_marker,0.421192,1,00:00:09,00:00:09
fastp,7.740746,4,00:01:13,00:04:52
flowcell_merge,2.327339,4,00:01:52,00:07:28
flye,15.418964,4,01:02:49,04:11:16
index_bam,0.116955,1,00:00:57,00:00:57
minimap2,6.291512,4,00:05:03,00:20:12
multiqc,0.371761,1,00:00:18,00:00:18
prokka,1.054695,4,00:01:36,00:06:24
quast,3.999405,4,00:16:23,01:05:32
seqkit_sort,0.127556,4,00:00:02,00:00:08
sequana_coverage,1.598984,1,00:01:39,00:01:39
setup_ccs_chunk,0.064182,1,00:00:02,00:00:02
