task,memory_gb,thread,time,cpu_time
bam2bed,1.656704,4,00:00:26,00:01:44
bam_to_fastq,4.390938,4,00:00:25,00:01:40
busco,0.66024,4,00:00:28,00:01:52
ccs,1.55888,4,00:10:02,00:40:08
ccs,1.611389,4,00:08:18,00:33:12
ccs,1.73159,4,00:08:26,00:33:44
ccs,0.965103,4,00:09:50,00:39:20
ccs,1.472412,4,00:09:48,00:39:12
ccs,1.655846,4,00:08:21,00:33:24
ccs,1.482738,4,00:08:18,00:33:12
ccs,1.581028,4,00:08:18,00:33:12
ccs,1.54258,4,00:08:18,00:33:12
ccs,1.346661,4,00:09:45,00:39:00
ccs_merge,2.315247,4,00:01:41,00:06:44
checkm,1.647972,4,00:01:38,00:06:32
checkm_marker,0.428028,1,00:00:09,00:00:09
circlator,7.999752,4,16:02:51,2-16:11:24
fastp,7.744678,4,00:01:24,00:05:36
flowcell_merge,2.29055,4,00:02:15,00:09:00
hifiasm,17.857269,4,00:18:08,01:12:32
index_bam,0.117283,1,00:00:57,00:00:57
minimap2,7.41555,4,00:05:57,00:23:48
multiqc,0.607864,1,00:00:25,00:00:25
prokka,1.090778,4,00:01:43,00:06:52
quast,3.999496,4,00:16:21,01:05:24
seqkit_sort,0.342228,4,00:00:22,00:01:28
sequana_coverage,2.353214,1,00:01:34,00:01:34
setup_ccs_chunk,0.06414,1,00:00:02,00:00:02
