task,memory_gb,thread,time,cpu_time
bam2bed,1.589752,4,00:00:27,00:01:48
bam_to_fastq,4.388607,4,00:00:39,00:02:36
busco,0.532722,4,00:00:13,00:00:52
ccs,1.106335,4,00:10:02,00:40:08
ccs,1.196266,4,00:09:45,00:39:00
ccs,1.523167,4,00:09:54,00:39:36
ccs,1.113903,4,00:09:51,00:39:24
ccs,1.098301,4,00:09:51,00:39:24
ccs,1.208561,4,00:09:55,00:39:40
ccs,0.99403,4,00:09:43,00:38:52
ccs,1.097775,4,00:09:46,00:39:04
ccs,0.972172,4,00:09:45,00:39:00
ccs,1.037937,4,00:09:45,00:39:00
ccs_merge,2.32198,4,00:01:41,00:06:44
checkm,1.525738,4,00:01:25,00:05:40
checkm_marker,0.42469,1,00:00:10,00:00:10
fastp,7.959854,4,00:01:37,00:06:28
flowcell_merge,2.305359,4,00:02:11,00:08:44
hifiasm,17.788181,4,00:18:18,01:13:12
index_bam,0.116917,1,00:00:56,00:00:56
minimap2,7.423954,4,00:05:34,00:22:16
multiqc,0.377796,1,00:00:21,00:00:21
prokka,1.053486,4,00:01:38,00:06:32
quast,3.999367,4,00:16:14,01:04:56
seqkit_sort,0.111908,4,00:00:05,00:00:20
sequana_coverage,1.371056,1,00:02:34,00:02:34
setup_ccs_chunk,0.063663,1,00:00:02,00:00:02
