task,memory_gb,thread,time,cpu_time
bam2bed,1.709839,4,00:00:26,00:01:44
bam_to_fastq,4.393673,4,00:00:26,00:01:44
busco,0.507523,4,00:00:13,00:00:52
ccs,1.519299,4,00:08:38,00:34:32
ccs,1.595539,4,00:08:21,00:33:24
ccs,1.574242,4,00:10:12,00:40:48
ccs,1.484146,4,00:08:23,00:33:32
ccs,1.561638,4,00:08:24,00:33:36
ccs,1.187492,4,00:10:01,00:40:04
ccs,1.45071,4,00:08:21,00:33:24
ccs,1.505131,4,00:09:53,00:39:32
ccs,1.526203,4,00:08:21,00:33:24
ccs,1.491291,4,00:09:55,00:39:40
ccs_merge,2.360073,4,00:01:41,00:06:44
checkm,1.312595,4,00:01:08,00:04:32
checkm_marker,0.423504,1,00:00:09,00:00:09
circlator,7.999378,4,02:12:06,08:48:24
fastp,7.704182,4,00:01:19,00:05:16
flowcell_merge,2.334385,4,00:01:45,00:07:00
index_bam,0.119289,1,00:00:57,00:00:57
minimap2,7.492203,4,00:05:22,00:21:28
multiqc,0.368271,1,00:00:19,00:00:19
necat_assemble,9.178043,4,00:02:56,00:11:44
necat_bridge,8.215061,4,00:01:51,00:07:24
necat_config,0.092823,4,00:00:06,00:00:24
necat_correct,10.519703,4,00:08:00,00:32:00
prokka,0.890415,4,00:01:43,00:06:52
quast,3.999599,4,00:16:15,01:05:00
seqkit_sort,0.1222,4,00:00:02,00:00:08
sequana_coverage,1.553276,1,00:01:15,00:01:15
setup_ccs_chunk,0.064114,1,00:00:02,00:00:02
