task,memory_gb,thread,time,cpu_time
bam2bed,1.601486,4,00:00:31,00:02:04
bam_to_fastq,4.391567,4,00:00:24,00:01:36
busco,0.654099,4,00:00:18,00:01:12
ccs,1.531342,4,00:09:26,00:37:44
ccs,1.598656,4,00:09:06,00:36:24
ccs,1.271702,4,00:09:51,00:39:24
ccs,1.490211,4,00:09:10,00:36:40
ccs,1.4902,4,00:09:12,00:36:48
ccs,1.601311,4,00:09:10,00:36:40
ccs,1.403187,4,00:09:04,00:36:16
ccs,1.527576,4,00:09:06,00:36:24
ccs,1.514362,4,00:09:06,00:36:24
ccs,1.484478,4,00:09:04,00:36:16
ccs_merge,2.316784,4,00:01:41,00:06:44
checkm,1.514984,4,00:01:31,00:06:04
checkm_marker,0.423798,1,00:00:08,00:00:08
fastp,7.698269,4,00:01:14,00:04:56
flowcell_merge,2.304832,4,00:02:12,00:08:48
index_bam,0.115955,1,00:00:56,00:00:56
minimap2,6.385818,4,00:05:31,00:22:04
multiqc,0.599846,1,00:00:23,00:00:23
necat_assemble,9.177872,4,00:02:54,00:11:36
necat_bridge,8.227879,4,00:01:48,00:07:12
necat_config,0.110428,4,00:00:06,00:00:24
necat_correct,10.529659,4,00:08:04,00:32:16
prokka,1.128178,4,00:01:46,00:07:04
quast,3.999466,4,00:16:17,01:05:08
seqkit_sort,0.145664,4,00:00:04,00:00:16
sequana_coverage,1.594814,1,00:01:04,00:01:04
setup_ccs_chunk,0.064156,1,00:00:02,00:00:02
