task,memory_gb,thread,time,cpu_time
bam2bed,1.576351,4,00:00:24,00:01:36
bam_to_fastq,4.390793,4,00:00:37,00:02:28
busco,0.534916,4,00:00:18,00:01:12
ccs,1.593834,4,00:08:41,00:34:44
ccs,1.074306,4,00:09:57,00:39:48
ccs,1.680855,4,00:08:31,00:34:04
ccs,1.058651,4,00:10:16,00:41:04
ccs,1.584602,4,00:08:27,00:33:48
ccs,1.653072,4,00:10:03,00:40:12
ccs,1.490147,4,00:08:25,00:33:40
ccs,1.098652,4,00:09:49,00:39:16
ccs,1.527515,4,00:08:25,00:33:40
ccs,1.625519,4,00:08:27,00:33:48
ccs_merge,2.352676,4,00:01:42,00:06:48
checkm,1.471436,4,00:01:22,00:05:28
checkm_marker,0.423397,1,00:00:09,00:00:09
circlator,7.813152,4,01:53:11,07:32:44
fastp,7.543613,4,00:01:12,00:04:48
flowcell_merge,2.335583,4,00:01:50,00:07:20
index_bam,0.117676,1,00:00:56,00:00:56
minimap2,7.480576,4,00:06:00,00:24:00
multiqc,0.371571,1,00:00:20,00:00:20
pecat_assemble,1.651005,4,00:01:08,00:04:32
pecat_config,0.158569,4,00:00:08,00:00:32
pecat_correct,4.398277,4,00:21:51,01:27:24
pecat_unzip,0.54237,4,00:03:59,00:15:56
prokka,1.025291,4,00:01:36,00:06:24
quast,3.999622,4,00:16:06,01:04:24
seqkit_sort,0.212372,4,00:00:06,00:00:24
sequana_coverage,1.362469,1,00:01:13,00:01:13
setup_ccs_chunk,0.064381,1,00:00:02,00:00:02
