task,memory_gb,thread,time,cpu_time
bam2bed,1.574986,4,00:00:26,00:01:44
bam_to_fastq,4.388859,4,00:00:16,00:01:04
busco,0.528835,4,00:00:12,00:00:48
ccs,1.068935,4,00:10:08,00:40:32
ccs,1.161911,4,00:09:29,00:37:56
ccs,1.049622,4,00:10:01,00:40:04
ccs,1.080898,4,00:09:09,00:36:36
ccs,0.982964,4,00:09:53,00:39:32
ccs,1.24049,4,00:10:04,00:40:16
ccs,1.019241,4,00:11:55,00:47:40
ccs,1.453968,4,00:09:47,00:39:08
ccs,1.020813,4,00:09:04,00:36:16
ccs,0.991432,4,00:09:47,00:39:08
ccs_merge,2.423466,4,00:02:02,00:08:08
checkm,1.470303,4,00:01:08,00:04:32
checkm_marker,0.630123,1,00:00:11,00:00:11
fastp,7.997761,4,00:01:12,00:04:48
flowcell_merge,2.37624,4,00:02:02,00:08:08
index_bam,0.117596,1,00:00:56,00:00:56
minimap2,6.485325,4,00:05:45,00:23:00
multiqc,0.346905,1,00:00:17,00:00:17
pecat_assemble,1.635532,4,00:00:59,00:03:56
pecat_config,0.096809,4,00:00:08,00:00:32
pecat_correct,4.388592,4,00:21:54,01:27:36
pecat_unzip,0.563908,4,00:03:58,00:15:52
prokka,1.090847,4,00:01:36,00:06:24
quast,3.999393,4,00:05:45,00:23:00
seqkit_sort,0.130455,4,00:00:04,00:00:16
sequana_coverage,1.472824,1,00:01:48,00:01:48
setup_ccs_chunk,0.064205,1,00:00:02,00:00:02
