task,memory_gb,thread,time,cpu_time
bam2bed,1.63113,4,00:00:27,00:01:48
bam_to_fastq,4.39098,4,00:00:39,00:02:36
bandage,0.230389,1,00:00:07,00:00:07
busco,0.530632,4,00:00:23,00:01:32
ccs,1.533993,4,00:10:17,00:41:08
ccs,1.603245,4,00:08:21,00:33:24
ccs,1.088425,4,00:10:12,00:40:48
ccs,1.472458,4,00:08:26,00:33:44
ccs,1.481632,4,00:09:59,00:39:56
ccs,1.735794,4,00:08:25,00:33:40
ccs,1.464821,4,00:08:20,00:33:20
ccs,1.527607,4,00:09:55,00:39:40
ccs,1.521427,4,00:08:24,00:33:36
ccs,1.495998,4,00:09:55,00:39:40
ccs_merge,2.355492,4,00:01:43,00:06:52
checkm,1.35463,4,00:01:34,00:06:16
checkm_marker,0.425644,1,00:00:09,00:00:09
circlator,7.999401,4,03:38:33,14:34:12
fastp,7.614861,4,00:01:18,00:05:12
flowcell_merge,2.288166,4,00:01:46,00:07:04
index_bam,0.115398,1,00:00:56,00:00:56
minimap2,7.380226,4,00:05:32,00:22:08
multiqc,0.364548,1,00:00:20,00:00:20
prokka,1.078808,4,00:01:44,00:06:56
quast,3.999523,4,00:05:56,00:23:44
seqkit_sort,0.253716,4,00:00:08,00:00:32
sequana_coverage,1.773891,1,00:01:52,00:01:52
setup_ccs_chunk,0.064163,1,00:00:02,00:00:02
unicycler,50.811508,8,00:28:51,03:50:48
