task,memory_gb,thread,time,cpu_time
bam2bed,1.574142,4,00:00:27,00:01:48
bam_to_fastq,4.391407,4,00:01:26,00:05:44
bandage,0.231949,1,00:00:03,00:00:03
busco,0.544254,4,00:00:18,00:01:12
ccs,1.614231,4,00:08:35,00:34:20
ccs,1.645149,4,00:09:10,00:36:40
ccs,1.587345,4,00:08:28,00:33:52
ccs,1.495148,4,00:09:04,00:36:16
ccs,1.651787,4,00:08:24,00:33:36
ccs,1.606274,4,00:09:11,00:36:44
ccs,1.474266,4,00:09:07,00:36:28
ccs,1.615334,4,00:09:14,00:36:56
ccs,1.530006,4,00:09:01,00:36:04
ccs,1.544247,4,00:09:01,00:36:04
ccs_merge,2.481876,4,00:01:36,00:06:24
checkm,1.295998,4,00:01:19,00:05:16
checkm_marker,0.422359,1,00:00:09,00:00:09
fastp,7.915157,4,00:01:29,00:05:56
flowcell_merge,2.374477,4,00:01:43,00:06:52
index_bam,0.117378,1,00:00:57,00:00:57
minimap2,7.391884,4,00:05:27,00:21:48
multiqc,0.352985,1,00:00:20,00:00:20
prokka,1.020279,4,00:01:36,00:06:24
quast,3.999798,4,00:16:34,01:06:16
seqkit_sort,0.11187,4,00:00:03,00:00:12
sequana_coverage,1.587181,1,00:02:15,00:02:15
setup_ccs_chunk,0.064243,1,00:00:02,00:00:02
unicycler,51.186539,8,00:32:38,04:21:04
