task,memory_gb,thread,time,cpu_time
bam2bed,0.59494,4,00:00:18,00:01:12
busco,0.631737,4,00:00:16,00:01:04
canu,8.544407,1,02:45:51,02:45:51
checkm,1.554146,4,00:01:46,00:07:04
checkm_marker,0.426476,1,00:00:09,00:00:09
circlator,3.930576,4,00:45:48,03:03:12
fastp,3.547581,4,00:00:24,00:01:36
minimap2,4.931873,4,00:02:01,00:08:04
multiqc,0.47406,1,00:00:19,00:00:19
prokka,0.937069,4,00:01:31,00:06:04
quast,3.999466,4,00:05:43,00:22:52
seqkit_sort,0.147419,4,00:00:04,00:00:16
sequana_coverage,1.480728,1,00:00:51,00:00:51
