task,memory_gb,thread,time,cpu_time
bam2bed,0.607674,4,00:00:17,00:01:08
bandage,0.234165,1,00:00:05,00:00:05
busco,0.510147,4,00:00:16,00:01:04
checkm,1.645397,4,00:01:13,00:04:52
checkm_marker,0.41724,1,00:00:10,00:00:10
circlator,4.715813,4,00:46:09,03:04:36
fastp,3.848225,4,00:00:25,00:01:40
flye,13.982925,4,00:30:40,02:02:40
minimap2,4.961201,4,00:01:58,00:07:52
multiqc,0.371983,1,00:00:18,00:00:18
prokka,0.974045,4,00:01:28,00:05:52
quast,3.999477,4,00:05:42,00:22:48
seqkit_sort,0.119984,4,00:00:02,00:00:08
sequana_coverage,1.57201,1,00:01:26,00:01:26
