task,memory_gb,thread,time,cpu_time
bam2bed,0.603783,4,00:00:17,00:01:08
bandage,0.13942,1,00:00:03,00:00:03
busco,0.653229,4,00:00:13,00:00:52
checkm,1.623222,4,00:01:15,00:05:00
checkm_marker,0.423954,1,00:00:10,00:00:10
fastp,3.526276,4,00:00:24,00:01:36
flye,13.983505,4,00:26:59,01:47:56
minimap2,5.191128,4,00:01:57,00:07:48
multiqc,0.366367,1,00:00:15,00:00:15
prokka,1.104755,4,00:01:26,00:05:44
quast,3.999462,4,00:05:42,00:22:48
seqkit_sort,0.121056,4,00:00:02,00:00:08
sequana_coverage,1.579952,1,00:01:20,00:01:20
