task,memory_gb,thread,time,cpu_time
bam2bed,0.618702,4,00:00:21,00:01:24
bandage,0.14875,1,00:00:04,00:00:04
busco,0.530071,4,00:00:15,00:01:00
checkm,1.316601,4,00:01:30,00:06:00
checkm_marker,0.424423,1,00:00:11,00:00:11
circlator,7.030781,4,01:01:21,04:05:24
fastp,3.490639,4,00:00:29,00:01:56
minimap2,5.073055,4,00:02:21,00:09:24
multiqc,0.365158,1,00:00:19,00:00:19
prokka,0.995811,4,00:01:54,00:07:36
quast,3.999477,4,00:05:57,00:23:48
seqkit_sort,0.120396,4,00:00:04,00:00:16
sequana_coverage,1.286041,1,00:01:32,00:01:32
unicycler,15.999485,8,00:01:55,00:15:20
unicycler,20.15617,8,00:36:22,04:50:56
