task,memory_gb,thread,time,cpu_time
bam2bed,0.599277,4,00:00:17,00:01:08
bandage,0.146004,1,00:00:03,00:00:03
busco,0.506618,4,00:00:14,00:00:56
checkm,1.294392,4,00:01:20,00:05:20
checkm_marker,0.573483,1,00:00:09,00:00:09
fastp,3.353634,4,00:00:27,00:01:48
minimap2,5.011486,4,00:02:16,00:09:04
multiqc,0.363415,1,00:00:19,00:00:19
prokka,0.995998,4,00:01:49,00:07:16
quast,3.999504,4,00:06:08,00:24:32
seqkit_sort,0.121189,4,00:00:03,00:00:12
sequana_coverage,1.632362,1,00:01:37,00:01:37
unicycler,15.999413,8,00:01:49,00:14:32
unicycler,20.007324,8,00:36:38,04:53:04
