# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	ctg0	112011	115649	+	1667.2	1052	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	ctg0	108261	111833	+	1250.2	799	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	ctg0	39582	43307	+	265.3	381	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	ctg0	617989	620607	+	527.3	615	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	ctg0	1327833	1329824	-	746.2	510	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	ctg0	540923	542767	+	537.5	441	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	ctg0	1418175	1420010	-	743.4	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	ctg0	1	1356	+	277.0	261	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	ctg0	1027869	1030010	-	525.7	463	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	ctg0	2126782	2128530	-	601.8	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	ctg0	2073904	2075196	-	330.8	291	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	ctg0	43476	44939	+	278.1	279	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	ctg0	369959	371236	-	421.6	352	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	ctg0	389832	391010	+	140.8	183	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	ctg0	104178	105434	-	330.5	295	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	ctg0	752384	753790	+	567.5	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	ctg0	1934012	1935208	-	164.6	223	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	ctg0	757956	758999	+	416.6	291	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
