# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	ctg1	1728060	1732262	+	1682.3	1093	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	ctg1	1723852	1728030	+	1293.5	797	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	ctg1	860571	864311	+	252.8	411	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	ctg1	455235	457850	-	569.2	546	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	ctg1	2124979	2127156	+	760.9	495	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	ctg1	639540	641351	-	553.3	454	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	ctg1	135131	136930	+	735.2	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	ctg1	1326042	1327616	-	229.8	293	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	ctg1	227099	229471	-	502.4	470	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	ctg1	487771	489588	-	595.6	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	ctg1	1426366	1427649	+	317.2	288	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	ctg1	854439	855857	-	268.6	290	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	ctg1	1907074	1908354	+	408.4	338	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	ctg1	37436	38512	+	195.1	180	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	ctg1	325972	327180	-	294.6	283	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	ctg1	1691723	1693147	+	575.0	385	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	ctg1	355654	356832	-	164.2	253	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	ctg1	337024	338046	-	426.3	292	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	ctg1	1049544	1051079	-	306.4	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	ctg1	282707	284080	-	210.1	242	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
