# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	tig00000008	1505497	1507632	+	915.5	519	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	tig00000011	2302472	2305738	+	1233.4	770	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	tig00000011	3238871	3241138	-	335.9	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Fragmented	tig00000011	3370494	3372569	-	337.2	411	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Duplicated	tig00000011	3514571	3516571	+	720.9	478	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
95696at2	Duplicated	tig00000008	4280581	4282596	-	717.1	474	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Duplicated	tig00000011	1374548	1376341	-	526.5	444	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
143460at2	Duplicated	tig00000008	779655	781340	-	496.5	437	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Duplicated	tig00000011	1864124	1865932	-	727.4	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
182107at2	Duplicated	tig00000008	1813445	1815256	+	720.6	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	tig00000008	2802837	2803817	-	257.7	244	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	tig00000011	2661552	2664188	-	499.5	475	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Duplicated	tig00000008	4135872	4137671	+	598.6	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
226836at2	Duplicated	tig00000011	3931466	3933250	+	595.9	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	tig00000011	561938	563296	+	317.4	310	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	tig00000011	349607	351082	+	278.5	280	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	tig00000011	1561950	1563242	-	391.8	382	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	tig00000011	630113	631261	-	143.6	185	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Duplicated	tig00000008	353309	354631	-	260.0	287	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
402899at2	Duplicated	tig00000011	2367390	2368604	-	257.9	285	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Duplicated	tig00000011	3086605	3088053	-	560.2	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
430176at2	Duplicated	tig00000008	2280609	2282060	-	555.4	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	tig00000011	1039729	1040928	-	171.1	205	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Duplicated	tig00000011	1366457	1367452	-	400.4	292	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
469058at2	Duplicated	tig00000008	2488726	2489835	-	385.1	291	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Duplicated	tig00000008	1317790	1319397	-	296.4	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
504464at2	Duplicated	tig00000011	2359045	2360679	+	293.3	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	tig00000011	659204	660694	-	214.1	259	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	tig00000011	3878281	3879570	-	371.8	287	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Duplicated	tig00000011	3858588	3859577	+	220.9	217	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
662686at2	Duplicated	tig00000008	2185475	2186419	-	219.1	216	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	tig00000011	18729	20531	-	727.2	543	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Duplicated	tig00000011	2560060	2561673	+	177.5	315	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
761140at2	Duplicated	tig00000008	789510	791123	+	158.3	293	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Duplicated	tig00000011	2392666	2394192	-	243.9	204	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
776861at2	Duplicated	tig00000008	3537852	3538655	-	230.6	202	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	tig00000011	3245188	3246693	+	656.5	410	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	tig00000011	2516283	2517212	-	146.4	192	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Duplicated	tig00000008	2928944	2930086	+	380.0	270	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
874197at2	Duplicated	tig00000011	2039926	2041008	+	377.5	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	tig00000011	3335002	3336027	-	434.6	311	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	tig00000011	3492552	3493811	+	609.1	412	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	tig00000011	952581	953966	-	64.3	213	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Duplicated	tig00000008	2196136	2196999	-	211.2	181	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
961486at2	Duplicated	tig00000011	3847295	3848137	+	202.7	164	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Duplicated	tig00000008	3439385	3440482	-	301.5	271	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
981870at2	Duplicated	tig00000011	556782	557876	-	292.5	268	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	tig00000011	3510786	3511727	+	214.1	196	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Duplicated	tig00000011	2546105	2547355	+	251.5	234	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1009041at2	Duplicated	tig00000008	2759996	2761126	-	244.2	246	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	tig00000011	2345262	2346518	+	420.1	325	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	tig00000011	2627599	2629410	+	267.8	339	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Duplicated	tig00000008	3050150	3050998	-	156.5	154	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1043239at2	Duplicated	tig00000011	3388779	3389501	-	155.5	155	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	tig00000011	3103738	3105276	+	569.2	434	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	tig00000011	3782298	3783350	+	366.4	326	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	tig00000011	834365	835249	+	126.4	171	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Duplicated	tig00000011	1659973	1661556	-	208.3	344	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1074831at2	Duplicated	tig00000008	2069582	2071222	+	187.0	336	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	tig00000011	1167816	1168886	-	356.9	263	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	tig00000011	721653	723017	-	283.4	354	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Duplicated	tig00000008	2194629	2195360	-	189.7	160	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1132353at2	Duplicated	tig00000011	3849017	3849736	+	189.0	162	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	tig00000011	1254702	1255808	+	217.4	254	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	tig00000011	3576791	3577675	-	113.3	110	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	tig00000011	268071	268679	+	170.6	163	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	tig00000011	3580090	3581145	-	239.2	234	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Duplicated	tig00000011	1989883	1990608	+	296.6	246	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1266295at2	Duplicated	tig00000008	2238658	2239356	+	265.4	235	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Duplicated	tig00000008	2198015	2198659	-	174.1	139	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1270636at2	Duplicated	tig00000011	3845545	3846228	+	157.9	143	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Duplicated	tig00000011	2679135	2680004	+	129.0	168	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1272633at2	Duplicated	tig00000008	205137	206009	+	120.9	137	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	tig00000011	1607524	1608765	+	282.3	288	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	tig00000011	2725723	2726817	+	97.9	164	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Duplicated	tig00000008	2191396	2191935	-	152.4	131	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1398618at2	Duplicated	tig00000011	3852698	3853237	+	143.1	133	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	tig00000008	376343	377314	-	196.6	257	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Duplicated	tig00000008	2192379	2192948	-	210.3	141	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1456375at2	Duplicated	tig00000011	3851646	3852188	+	208.1	142	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Duplicated	tig00000011	3721147	3721689	+	74.2	102	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1470978at2	Duplicated	tig00000008	1111450	1111977	-	70.6	102	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	tig00000011	241379	242107	+	38.9	96	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	tig00000011	3856277	3856831	+	124.9	128	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Duplicated	tig00000011	823709	824350	+	26.2	53	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1497415at2	Duplicated	tig00000008	2265926	2266108	-	22.8	26	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	tig00000011	1713292	1713852	+	250.8	184	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	tig00000011	3828686	3829645	+	184.9	214	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Duplicated	tig00000008	2190486	2191010	-	184.6	147	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1505038at2	Duplicated	tig00000011	3853615	3854166	+	181.4	147	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Duplicated	tig00000011	45939	46409	+	184.2	131	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1540940at2	Duplicated	tig00000008	2284769	2285239	+	182.0	133	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	tig00000011	3854880	3856193	+	285.7	307	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	tig00000011	3846273	3846911	+	122.7	96	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	tig00000011	1740298	1740936	-	111.7	138	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Duplicated	tig00000011	793736	794476	+	45.0	87	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1590629at2	Duplicated	tig00000008	2441224	2441862	-	43.2	80	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	tig00000008	2854997	2856775	+	400.4	309	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Duplicated	tig00000008	4353776	4354528	+	32.6	40	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1595498at2	Duplicated	tig00000011	631350	631814	-	32.2	40	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	tig00000011	2283020	2283826	+	249.7	184	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Fragmented	tig00000008	2290352	2290888	+	139.0	125	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	tig00000011	3848611	3848985	+	109.7	85	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	tig00000011	4025505	4026215	-	198.1	164	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Duplicated	tig00000011	3388241	3388792	-	152.6	135	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1674344at2	Duplicated	tig00000008	3049612	3050163	-	141.7	134	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Duplicated	tig00000011	163691	164329	-	128.0	114	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1676462at2	Duplicated	tig00000008	1558781	1559461	-	124.6	118	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Duplicated	tig00000008	2191962	2192360	-	184.4	128	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1692188at2	Duplicated	tig00000011	3852218	3852619	+	183.3	130	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Duplicated	tig00000008	1115005	1115367	-	108.4	85	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1698718at2	Duplicated	tig00000011	4027987	4028385	-	106.5	83	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	tig00000011	3247003	3247950	+	155.6	141	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Duplicated	tig00000011	4026338	4026763	-	129.2	104	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1702697at2	Duplicated	tig00000008	1113307	1113732	-	126.7	104	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Duplicated	tig00000008	2284151	2284531	+	175.7	106	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1707228at2	Duplicated	tig00000011	45416	45790	+	172.6	91	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Duplicated	tig00000008	2186579	2186974	-	151.7	96	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1713391at2	Duplicated	tig00000011	3858096	3858488	+	146.3	96	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Duplicated	tig00000008	2430088	2430552	-	200.5	141	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1720952at2	Duplicated	tig00000011	1764200	1764685	-	188.8	134	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Duplicated	tig00000011	3275919	3276749	-	34.4	57	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1758685at2	Duplicated	tig00000008	2702658	2702834	-	31.3	39	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Duplicated	tig00000011	3256278	3256817	-	95.7	96	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1760144at2	Duplicated	tig00000008	1000486	1001028	-	89.4	85	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	tig00000011	3861342	3861740	+	105.5	98	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	tig00000011	3857538	3857918	+	130.1	99	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	tig00000008	3879842	3880180	-	43.5	70	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Duplicated	tig00000011	3849902	3850318	+	162.0	102	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1786618at2	Duplicated	tig00000008	2194206	2194625	-	149.6	101	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Duplicated	tig00000008	2193319	2193687	-	125.4	103	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1799923at2	Duplicated	tig00000011	3850857	3851225	+	120.1	103	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Duplicated	tig00000008	2183594	2184058	-	159.1	111	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822215at2	Duplicated	tig00000011	3860887	3861342	+	158.0	111	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Duplicated	tig00000011	3721754	3722134	+	84.6	92	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1822695at2	Duplicated	tig00000008	1110919	1111302	-	81.1	89	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Duplicated	tig00000008	2723307	2723774	+	69.8	58	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827295at2	Duplicated	tig00000011	698909	699349	+	64.0	57	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Duplicated	tig00000011	2291968	2292513	+	69.2	80	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1827334at2	Duplicated	tig00000008	3614305	3614883	+	66.0	79	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Duplicated	tig00000011	3105493	3106008	+	71.4	72	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
