# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	ctg2	2310724	2312613	-	904.0	522	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	ctg2	2689746	2693012	+	1233.4	770	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Duplicated	ctg2	3626161	3628428	-	335.9	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
26038at2	Duplicated	contig_1	2231709	2234033	+	325.5	379	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	ctg2	3757782	3760427	-	532.2	550	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	ctg2	3901861	3903861	+	720.9	478	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Duplicated	contig_1	3419669	3421462	-	538.3	463	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
143460at2	Duplicated	ctg2	1761799	1763592	-	526.5	444	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Duplicated	ctg2	2251389	2253197	-	729.7	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
182107at2	Duplicated	contig_1	45119	46930	+	720.6	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	contig_1	1035213	1036718	-	288.9	264	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	ctg2	3048833	3051469	-	499.2	475	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Duplicated	contig_1	2369300	2371099	+	598.6	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
226836at2	Duplicated	ctg2	190703	192487	+	595.9	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	ctg2	949171	950529	+	317.4	310	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Duplicated	ctg2	736834	738309	+	278.5	280	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
267682at2	Duplicated	contig_1	2234500	2235846	+	249.4	252	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
