# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	contig_2	245742	247631	-	904.0	522	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	contig_2	624764	628030	+	1233.4	770	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	contig_2	1561179	1563446	-	335.9	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	contig_2	1692800	1695445	-	532.2	550	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	contig_2	1836879	1838879	+	720.9	478	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Duplicated	contig_1	3243758	3245551	+	538.3	463	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
143460at2	Duplicated	contig_2	3824875	3826668	-	526.5	444	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Duplicated	contig_2	186407	188215	-	729.7	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
182107at2	Duplicated	contig_1	2209088	2210899	-	720.6	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	contig_1	1219300	1220805	+	288.9	264	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	contig_2	983851	986487	-	499.2	475	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Duplicated	contig_1	4294121	4295920	-	598.6	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
226836at2	Duplicated	contig_2	2253779	2255563	+	595.9	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	contig_2	3012247	3013605	+	317.4	310	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	contig_2	2799910	2801385	+	278.5	280	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	contig_2	4012283	4013575	-	391.3	382	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	contig_2	3080424	3081572	-	143.6	185	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Duplicated	contig_1	3670807	3672129	+	260.0	287	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
402899at2	Duplicated	contig_2	689682	690896	-	257.9	285	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Duplicated	contig_2	1408909	1410357	-	560.2	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
