# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	ctg1	3565397	3567286	+	904.0	522	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	ctg1	3185015	3188281	-	1233.4	770	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	ctg1	2249635	2251902	+	335.9	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Fragmented	ctg1	2117646	2119109	+	371.6	330	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Missing
143460at2	Duplicated	ctg0	3114763	3116556	-	535.3	463	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
143460at2	Duplicated	ctg1	4114379	4116172	+	526.5	444	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Missing
219876at2	Complete	ctg0	730560	731543	-	257.7	244	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	ctg1	2826580	2828508	+	497.2	464	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	ctg0	2063877	2065676	+	592.7	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	ctg1	797790	799148	-	316.9	310	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	ctg1	1009989	1011464	-	278.5	280	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Fragmented	ctg1	3927840	3928769	+	363.2	252	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Fragmented	ctg1	730343	730984	+	133.4	134	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	ctg0	2688323	2689645	-	256.7	287	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Duplicated	ctg1	2402719	2404167	+	560.2	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
430176at2	Duplicated	ctg0	208362	209813	-	555.5	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Duplicated	ctg0	804764	805969	-	171.4	206	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
462069at2	Duplicated	ctg1	320185	321387	+	168.5	204	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Duplicated	ctg1	4123267	4124262	+	396.2	292	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
469058at2	Duplicated	ctg0	416494	417603	-	384.2	291	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	ctg1	3130074	3131255	-	295.6	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Fragmented	ctg0	3823555	3824967	-	141.5	184	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	ctg0	3814157	3815497	+	371.4	290	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Fragmented	ctg0	113282	114163	-	165.3	161	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	ctg1	1340552	1342354	+	723.9	543	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Duplicated	ctg1	2929088	2930701	-	177.5	315	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
761140at2	Duplicated	ctg0	3124574	3126349	+	157.9	293	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Duplicated	ctg1	3096560	3098086	+	243.9	204	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
776861at2	Duplicated	ctg0	1465773	1466576	-	232.8	202	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	ctg1	2244081	2245586	-	649.1	410	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	ctg1	2973551	2974480	+	146.4	192	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	ctg1	3449738	3450820	-	375.3	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
