# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	ptg000105l	22527	24416	+	904.0	522	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Duplicated	ptg000181l	46103	49369	+	1233.4	770	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
9601at2	Duplicated	ptg000265l	123457	126723	+	1233.4	770	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
9601at2	Duplicated	ptg000312l	26171	29437	-	1233.4	770	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
9601at2	Duplicated	ptg000280l	21995	25261	-	1229.9	770	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Duplicated	ptg000083l	39014	41281	+	336.1	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
26038at2	Duplicated	ptg000091l	133021	135288	+	336.1	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
26038at2	Duplicated	ptg000100l	4221	6488	-	336.0	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
26038at2	Duplicated	ptg000059l	92965	95232	-	335.9	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
26038at2	Duplicated	ptg000151l	69380	71647	+	335.9	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
26038at2	Duplicated	ptg000203l	3362	5629	+	335.9	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
26038at2	Duplicated	ptg000498l	17969	20236	+	335.9	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
26038at2	Duplicated	ptg000436l	78165	80432	+	333.4	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Duplicated	ptg000159l	48891	51536	+	532.2	550	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
91428at2	Duplicated	ptg000091l	1045	3690	+	529.7	550	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
