assembler,sample,length
canu circ.,m54091_201030_155628,9019
canu circ.,m54091_201030_155628,10485
canu circ.,m54091_201030_155628,10610
canu circ.,m54091_201030_155628,11645
canu circ.,m54091_201030_155628,12740
canu circ.,m54091_201030_155628,13116
canu circ.,m54091_201030_155628,15409
canu circ.,m54091_201030_155628,2206873
canu,m54091_201030_155628,8174
canu,m54091_201030_155628,8452
canu,m54091_201030_155628,8793
canu,m54091_201030_155628,9598
canu,m54091_201030_155628,11956
canu,m54091_201030_155628,13115
canu,m54091_201030_155628,14406
canu,m54091_201030_155628,20545
canu,m54091_201030_155628,644071
canu,m54091_201030_155628,1576483
flye circ.,m54091_201030_155628,12746
flye circ.,m54091_201030_155628,2205694
flye,m54091_201030_155628,12729
flye,m54091_201030_155628,2205694
hifiasm circ.,m54091_201030_155628,9100
hifiasm circ.,m54091_201030_155628,12740
hifiasm circ.,m54091_201030_155628,2248615
hifiasm,m54091_201030_155628,9100
hifiasm,m54091_201030_155628,21004
hifiasm,m54091_201030_155628,2248615
necat circ.,m54091_201030_155628,12729
necat circ.,m54091_201030_155628,75768
necat circ.,m54091_201030_155628,1708054
necat,m54091_201030_155628,12729
necat,m54091_201030_155628,75768
necat,m54091_201030_155628,1708054
pecat circ.,m54091_201030_155628,12745
pecat circ.,m54091_201030_155628,2208189
pecat,m54091_201030_155628,12724
pecat,m54091_201030_155628,2208183
unicycler circ.,m54091_201030_155628,12729
unicycler circ.,m54091_201030_155628,13017
unicycler circ.,m54091_201030_155628,14816
unicycler circ.,m54091_201030_155628,274877
unicycler circ.,m54091_201030_155628,584364
unicycler circ.,m54091_201030_155628,604595
unicycler circ.,m54091_201030_155628,727259
unicycler,m54091_201030_155628,12729
unicycler,m54091_201030_155628,13017
unicycler,m54091_201030_155628,14816
unicycler,m54091_201030_155628,17808
unicycler,m54091_201030_155628,176771
unicycler,m54091_201030_155628,212781
unicycler,m54091_201030_155628,267226
unicycler,m54091_201030_155628,325598
unicycler,m54091_201030_155628,381065
unicycler,m54091_201030_155628,410427
unicycler,m54091_201030_155628,436537
