# BUSCO version is: 5.4.6 
# The lineage dataset is: euglenozoa_odb10 (Creation date: 2020-08-05, number of genomes: 31, number of BUSCOs: 130)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
126at33682	Complete	ctg31	259997	268397	-	2460.5	1412	https://www.orthodb.org/v10?query=126at33682	phosphatidylinositol 3-kinase
140at33682	Fragmented	ctg3	1900754	1905745	+	2293.8	1386	https://www.orthodb.org/v10?query=140at33682	FKBP12-rapamycin binding domain
184at33682	Complete	ctg3	1653935	1660116	+	1320.0	994	https://www.orthodb.org/v10?query=184at33682	Putative RNA editing associated helicase 2
199at33682	Complete	ctg66	265738	272242	-	2606.3	1435	https://www.orthodb.org/v10?query=199at33682	acetyl-CoA carboxylase
206at33682	Complete	ctg38	491748	497706	-	3073.2	1657	https://www.orthodb.org/v10?query=206at33682	Putative RNA helicase
363at33682	Complete	ctg35	261858	266860	+	972.2	967	https://www.orthodb.org/v10?query=363at33682	putative RNA helicase
395at33682	Fragmented	ctg12	44868	47180	+	786.8	561	https://www.orthodb.org/v10?query=395at33682	Pantothenate kinase subunit, putative
408at33682	Complete	ctg1	1405274	1412190	-	1357.7	1248	https://www.orthodb.org/v10?query=408at33682	Putativedeath-receptorfusionprotein(DUF2428)-putative/Pfam
442at33682	Complete	ctg0	1183532	1188022	-	1424.5	1072	https://www.orthodb.org/v10?query=442at33682	Hypotheticalprotein-conserved
454at33682	Fragmented	ctg3	1105881	1109217	-	953.8	715	https://www.orthodb.org/v10?query=454at33682	Sec7 domain
467at33682	Complete	ctg6	1137401	1142286	-	1619.0	1169	https://www.orthodb.org/v10?query=467at33682	HECT-domain(Ubiquitin-transferase)-putative/Pfam
608at33682	Fragmented	ctg16	274325	279124	+	923.5	641	https://www.orthodb.org/v10?query=608at33682	Putative NFX1-type zinc finger-containing protein 1-like
863at33682	Complete	ctg40	665290	669048	+	1739.7	993	https://www.orthodb.org/v10?query=863at33682	DNA polymerase
884at33682	Fragmented	ctg3	1920738	1924096	+	669.0	760	https://www.orthodb.org/v10?query=884at33682	HECT-domain(Ubiquitin-transferase)-putative/Pfam
965at33682	Complete	ctg43	603997	607710	+	1807.3	1029	https://www.orthodb.org/v10?query=965at33682	Cation-transporting ATPase
1175at33682	Complete	ctg40	670869	674576	+	1768.5	1072	https://www.orthodb.org/v10?query=1175at33682	WD40-repeat-containing domain
1207at33682	Complete	ctg0	298170	303934	+	1325.5	1038	https://www.orthodb.org/v10?query=1207at33682	Cyclic nucleotide-binding domain
1392at33682	Complete	ctg28	634958	638345	-	1083.1	785	https://www.orthodb.org/v10?query=1392at33682	argonaute-like protein
1408at33682	Complete	ctg12	622005	625403	-	871.4	574	https://www.orthodb.org/v10?query=1408at33682	Pseudouridine synthase, TruD
1439at33682	Complete	ctg16	47015	50143	-	1108.0	709	https://www.orthodb.org/v10?query=1439at33682	Condensin complex subunit 3
1528at33682	Complete	ctg16	1076623	1080897	+	1233.5	940	https://www.orthodb.org/v10?query=1528at33682	SNF2-related, N-terminal domain
