# BUSCO version is: 5.4.6 
# The lineage dataset is: euglenozoa_odb10 (Creation date: 2020-08-05, number of genomes: 31, number of BUSCOs: 130)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
126at33682	Complete	242	16	6492	+	2486.2	1356	https://www.orthodb.org/v10?query=126at33682	phosphatidylinositol 3-kinase
140at33682	Complete	12	450247	456633	+	2836.4	1776	https://www.orthodb.org/v10?query=140at33682	FKBP12-rapamycin binding domain
184at33682	Complete	12	204248	210889	+	1109.9	965	https://www.orthodb.org/v10?query=184at33682	Putative RNA editing associated helicase 2
199at33682	Complete	41	143027	149527	+	2573.4	1401	https://www.orthodb.org/v10?query=199at33682	acetyl-CoA carboxylase
206at33682	Complete	91	139124	145282	+	3080.5	1657	https://www.orthodb.org/v10?query=206at33682	Putative RNA helicase
363at33682	Complete	39	68251	72639	-	702.3	804	https://www.orthodb.org/v10?query=363at33682	putative RNA helicase
395at33682	Fragmented	21	408639	410951	-	786.8	561	https://www.orthodb.org/v10?query=395at33682	Pantothenate kinase subunit, putative
408at33682	Complete	1	875754	881199	-	1352.5	1208	https://www.orthodb.org/v10?query=408at33682	Putativedeath-receptorfusionprotein(DUF2428)-putative/Pfam
442at33682	Fragmented	6	221841	226295	-	1221.5	868	https://www.orthodb.org/v10?query=442at33682	Hypotheticalprotein-conserved
454at33682	Complete	26	207620	213241	+	1247.4	1167	https://www.orthodb.org/v10?query=454at33682	Sec7 domain
467at33682	Complete	3	626655	631443	-	1366.6	1038	https://www.orthodb.org/v10?query=467at33682	HECT-domain(Ubiquitin-transferase)-putative/Pfam
608at33682	Fragmented	42	36114	38993	-	1284.6	722	https://www.orthodb.org/v10?query=608at33682	Putative NFX1-type zinc finger-containing protein 1-like
863at33682	Complete	7	49721	52546	-	1509.3	829	https://www.orthodb.org/v10?query=863at33682	DNA polymerase
884at33682	Fragmented	12	473278	476248	+	865.6	747	https://www.orthodb.org/v10?query=884at33682	HECT-domain(Ubiquitin-transferase)-putative/Pfam
965at33682	Complete	10	564526	568239	+	1807.3	1029	https://www.orthodb.org/v10?query=965at33682	Cation-transporting ATPase
1175at33682	Complete	7	44268	47975	-	1768.5	1072	https://www.orthodb.org/v10?query=1175at33682	WD40-repeat-containing domain
1207at33682	Complete	4	455875	461590	-	1320.3	1093	https://www.orthodb.org/v10?query=1207at33682	Cyclic nucleotide-binding domain
1392at33682	Complete	64	98741	102112	-	1046.8	787	https://www.orthodb.org/v10?query=1392at33682	argonaute-like protein
1408at33682	Complete	47	136647	140046	-	871.6	557	https://www.orthodb.org/v10?query=1408at33682	Pseudouridine synthase, TruD
1439at33682	Fragmented	42	265454	268580	+	623.1	490	https://www.orthodb.org/v10?query=1439at33682	Condensin complex subunit 3
1528at33682	Complete	192	29859	34133	-	1233.5	940	https://www.orthodb.org/v10?query=1528at33682	SNF2-related, N-terminal domain
1572at33682	Fragmented	21	344473	346302	-	768.5	496	https://www.orthodb.org/v10?query=1572at33682	Exosome complex exonuclease DIS3/RRP44
1732at33682	Fragmented	24	250581	253015	+	887.2	578	https://www.orthodb.org/v10?query=1732at33682	WD40 repeat
1814at33682	Complete	22	108541	110866	+	462.0	406	https://www.orthodb.org/v10?query=1814at33682	acyl-CoA binding protein
1820at33682	Missing
1881at33682	Complete	57	184316	186748	-	1317.3	665	https://www.orthodb.org/v10?query=1881at33682	Mitochondrial RNA binding protein 1
1904at33682	Complete	47	193283	196198	-	1163.7	709	https://www.orthodb.org/v10?query=1904at33682	proteasome regulatory non-ATPase subunit 2
1927at33682	Fragmented	12	300489	302141	+	746.7	454	https://www.orthodb.org/v10?query=1927at33682	peroxisome biogenesis factor 1
2035at33682	Complete	32	296380	299208	+	1412.5	813	https://www.orthodb.org/v10?query=2035at33682	periodic tryptophan protein 2
2058at33682	Complete	11	83871	86575	+	672.2	639	https://www.orthodb.org/v10?query=2058at33682	RNA ligase, putative
2142at33682	Duplicated	101	130394	134029	+	1464.3	1083	https://www.orthodb.org/v10?query=2142at33682	Structural maintenance of chromosomes protein
2142at33682	Duplicated	193	87905	91540	-	1464.3	1083	https://www.orthodb.org/v10?query=2142at33682	Structural maintenance of chromosomes protein
2142at33682	Duplicated	109	120017	123652	+	1461.0	1086	https://www.orthodb.org/v10?query=2142at33682	Structural maintenance of chromosomes protein
2142at33682	Duplicated	190	79323	82674	-	1278.0	1023	https://www.orthodb.org/v10?query=2142at33682	Structural maintenance of chromosomes protein
2207at33682	Complete	11	128490	132569	+	828.2	885	https://www.orthodb.org/v10?query=2207at33682	EF-hand domain
