# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	ctg0	1324498	1328481	+	1578.6	1040	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Fragmented	ctg0	1320138	1322063	+	508.7	376	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	ctg0	476817	480557	+	252.8	411	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Fragmented	ctg0	72097	73248	-	344.5	288	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	ctg0	1721675	1723852	+	760.9	495	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Missing
182107at2	Missing
219876at2	Missing
223233at2	Complete	ctg0	1991284	1993656	-	502.4	470	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	ctg0	103187	105004	-	595.6	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	ctg0	1022428	1023711	+	317.2	288	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	ctg0	470660	472090	-	268.5	290	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	ctg0	1503564	1504844	+	408.4	338	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Fragmented	ctg0	1801407	1802336	+	164.9	151	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Fragmented	ctg0	2090845	2091477	-	211.1	166	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	ctg0	1288031	1289455	+	575.0	385	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	ctg0	2120113	2121195	-	135.7	230	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	ctg0	2101367	2102389	-	426.3	292	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Fragmented	ctg0	665979	666692	-	230.4	174	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	ctg0	2046982	2048355	-	210.1	242	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	ctg0	2116297	2117580	-	379.7	283	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	ctg0	1348874	1349878	+	242.1	207	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	ctg0	1884322	1886040	+	751.0	540	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	ctg0	1619667	1621613	+	190.2	318	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	ctg0	1848711	1849184	+	152.9	130	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	ctg0	1285616	1287154	+	663.0	406	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Fragmented	ctg0	258919	259563	-	83.4	98	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	ctg0	1587787	1588791	+	423.5	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Fragmented	ctg0	469621	470244	-	236.3	179	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	ctg0	466042	467304	-	646.0	414	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	ctg0	165862	167166	-	91.3	249	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	ctg0	1337746	1338576	+	230.8	175	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Fragmented	ctg0	1190144	1190734	-	123.9	130	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	ctg0	2011199	2012041	-	199.6	203	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	ctg0	2136009	2137049	-	248.7	223	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	ctg0	1863747	1864940	+	445.7	306	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Missing
1043239at2	Complete	ctg0	1877916	1878641	+	159.8	158	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Fragmented	ctg0	468106	468978	-	286.5	217	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Fragmented	ctg0	1898302	1899171	+	288.5	261	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	ctg0	1895801	1896673	+	104.1	155	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Fragmented	ctg0	1945104	1946114	+	139.6	249	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	ctg0	91245	92285	-	390.8	259	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Fragmented	ctg0	2143012	2143950	-	162.7	201	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	ctg0	1339245	1339913	+	205.9	160	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
