# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	ctg1	2128287	2132489	+	1682.3	1093	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	ctg1	2124040	2128257	+	1293.4	797	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	ctg1	1280161	1283901	+	252.8	411	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Fragmented	ctg1	876088	877119	-	324.3	249	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Missing
143460at2	Missing
182107at2	Missing
219876at2	Missing
223233at2	Complete	ctg1	292481	294802	+	124.9	441	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	ctg1	907045	908862	-	595.6	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	ctg1	1825954	1827237	+	317.2	288	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	ctg1	1274027	1275445	-	268.6	290	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	ctg1	158442	159722	+	408.4	338	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Fragmented	ctg1	456459	457046	+	123.5	122	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	ctg1	745095	746174	-	286.5	277	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Fragmented	ctg1	2092071	2093345	+	566.8	353	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	ctg1	774883	775971	-	136.3	228	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	ctg1	756155	757177	-	426.3	292	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Fragmented	ctg1	1469599	1470237	-	200.9	147	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Fragmented	ctg1	702093	702614	-	98.7	108	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	ctg1	771078	772361	-	379.7	283	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	ctg1	3867	4871	+	242.1	207	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	ctg1	539098	540816	+	751.0	540	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	ctg1	274483	276429	+	190.2	318	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	ctg1	503507	504190	+	244.4	208	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	ctg1	2089504	2091042	+	663.0	406	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Fragmented	ctg1	1061989	1062723	-	136.0	156	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	ctg1	242588	243592	+	423.5	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Fragmented	ctg1	1273186	1274040	-	383.1	254	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	ctg1	1269398	1270660	-	646.0	414	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	ctg1	969671	970975	-	91.3	249	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	ctg1	2141646	2142446	+	230.8	175	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	ctg1	1994011	1995105	-	236.0	267	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	ctg1	665925	666824	-	221.4	213	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
