# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	contig_2	2906924	2909968	-	1167.4	835	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Fragmented	contig_2	2911680	2914214	-	797.9	574	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Fragmented	contig_2	1883047	1884153	+	102.9	173	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Fragmented	contig_2	4237062	4238399	-	274.7	287	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Missing
143460at2	Complete	contig_2	3243372	3245171	-	518.3	459	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Missing
219876at2	Missing
223233at2	Fragmented	contig_2	4903579	4905396	+	212.4	372	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Fragmented	contig_2	1061017	1062021	+	362.1	260	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Fragmented	contig_2	2011199	2011636	-	111.0	104	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Fragmented	contig_2	1293203	1294336	-	116.1	197	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Fragmented	contig_2	4554107	4554925	-	322.0	239	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Fragmented	contig_2	3631448	3631846	+	33.5	52	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Fragmented	contig_2	3470480	3471454	+	228.3	211	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Fragmented	contig_2	802491	803108	+	275.6	174	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Fragmented	contig_2	1822573	1823238	+	91.2	127	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	contig_2	1818940	1820040	+	350.8	288	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	contig_2	4500168	4501691	+	303.7	229	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Fragmented	contig_2	4055093	4056019	-	169.1	144	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Fragmented	contig_2	4804014	4804481	-	191.2	117	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	contig_2	2885087	2886079	-	246.0	220	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	contig_2	1123860	1125353	-	434.7	352	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Fragmented	contig_2	3293280	3294296	+	38.8	122	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
