# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	bctg00000000	842814	847016	-	1682.3	1093	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	bctg00000000	847046	851224	-	1293.5	797	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	bctg00000000	1690874	1694614	-	252.8	411	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	bctg00000000	2097702	2100317	+	569.2	546	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Missing
143460at2	Complete	bctg00000000	1914092	1915903	+	553.3	454	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Missing
219876at2	Missing
223233at2	Fragmented	bctg00000000	177437	178714	+	350.2	246	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Fragmented	bctg00000000	2066583	2067689	+	344.0	288	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	bctg00000000	1147547	1148830	-	317.2	288	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	bctg00000000	1699328	1700746	+	268.6	290	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	bctg00000000	666387	667550	-	409.0	318	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Fragmented	bctg00000000	369065	369886	-	121.9	122	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Fragmented	bctg00000000	79891	80796	+	204.8	224	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	bctg00000000	881935	883359	-	575.0	385	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	bctg00000000	49991	51097	+	147.7	239	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	bctg00000000	68711	69733	+	426.3	292	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Fragmented	bctg00000000	1504881	1505306	+	112.9	98	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	bctg00000000	122694	124067	+	210.1	242	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	bctg00000000	53528	54811	+	379.7	283	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	bctg00000000	821531	822535	-	242.1	207	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	bctg00000000	285328	287046	-	751.0	540	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Fragmented	bctg00000000	551177	551554	-	81.5	90	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	bctg00000000	321974	322657	-	244.4	208	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	bctg00000000	884236	885774	-	663.0	406	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	bctg00000000	1911878	1912807	+	155.5	187	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Missing
923547at2	Complete	bctg00000000	1700733	1701794	+	449.2	312	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	bctg00000000	1704110	1705372	+	646.0	414	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	bctg00000000	2003797	2004693	+	87.9	171	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	bctg00000000	832826	833656	-	230.8	175	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Fragmented	bctg00000000	980094	980804	+	114.8	137	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Fragmented	bctg00000000	159003	159410	+	120.6	105	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
