# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	ctg0	1998687	2001824	-	1175.2	824	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Fragmented	ctg0	2002921	2006160	-	1101.4	624	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	ctg0	698076	701816	-	252.8	411	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	ctg0	1105021	1107636	+	569.2	546	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Missing
143460at2	Missing
182107at2	Missing
219876at2	Complete	ctg0	255086	256660	+	229.8	293	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	ctg0	1333564	1335936	+	502.4	470	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Fragmented	ctg0	1073606	1075051	+	498.4	373	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Fragmented	ctg0	154966	155742	-	200.7	171	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	ctg0	706532	707950	+	268.6	290	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	ctg0	1822423	1823706	-	407.4	331	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Fragmented	ctg0	1524909	1525256	-	127.5	91	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	ctg0	1235720	1236928	+	294.6	283	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Fragmented	ctg0	2037893	2038714	-	403.3	234	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	ctg0	1206043	1207125	+	135.7	230	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	ctg0	1224846	1225868	+	426.3	292	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Fragmented	ctg0	511993	512706	+	230.4	174	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	ctg0	1278870	1280243	+	210.1	242	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	ctg0	1209654	1210937	+	379.7	283	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	ctg0	1977380	1978384	-	242.1	207	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	ctg0	1441162	1442880	-	751.0	540	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	ctg0	1705661	1707553	-	161.8	303	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	ctg0	1477803	1478486	-	244.4	208	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
