# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	bctg00000000	3643730	3645619	+	904.0	522	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	bctg00000000	3263192	3266458	-	1233.4	770	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	bctg00000000	2327629	2329896	+	335.9	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Fragmented	bctg00000002	555752	557689	-	444.3	415	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Missing
143460at2	Duplicated	bctg00000000	62198	63991	+	526.5	444	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
143460at2	Duplicated	bctg00000001	1287961	1289745	-	474.8	463	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Duplicated	bctg00000000	3703162	3704970	+	727.4	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
182107at2	Duplicated	bctg00000001	2322173	2324023	+	720.5	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	bctg00000002	248817	250331	-	288.9	264	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Duplicated	bctg00000000	2904656	2907292	+	499.5	475	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
223233at2	Duplicated	bctg00000002	847182	848999	-	473.7	395	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Duplicated	bctg00000000	1635501	1637285	-	595.9	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
226836at2	Duplicated	bctg00000001	237499	239298	+	592.7	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	bctg00000000	875498	876841	-	310.3	306	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	bctg00000000	1087717	1089192	-	278.5	280	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	bctg00000000	4005878	4007170	+	391.8	382	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	bctg00000000	807485	808633	+	143.6	185	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Duplicated	bctg00000001	861601	863034	-	256.4	287	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
402899at2	Duplicated	bctg00000000	3200327	3201541	+	254.6	285	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Duplicated	bctg00000000	2480735	2482183	+	560.2	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
430176at2	Duplicated	bctg00000001	2789724	2791175	-	555.4	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	bctg00000000	397783	398982	+	171.1	205	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Duplicated	bctg00000000	71089	72084	+	400.4	292	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
469058at2	Duplicated	bctg00000001	2998033	2999142	-	385.1	291	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	bctg00000000	3208252	3209886	-	293.3	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	bctg00000000	778042	779532	+	214.1	259	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Duplicated	bctg00000000	1689149	1690438	+	371.8	287	https://v10-1.orthodb.org/?query=533698at2	Enolase
533698at2	Duplicated	bctg00000001	1987441	1988682	+	365.3	283	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Duplicated	bctg00000000	1709103	1710092	-	220.9	217	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
662686at2	Duplicated	bctg00000001	2694528	2695472	-	219.1	216	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	bctg00000000	1418401	1420203	+	727.2	543	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	bctg00000000	3007192	3008805	-	177.5	315	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Duplicated	bctg00000002	984264	984884	-	202.7	182	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
776861at2	Duplicated	bctg00000000	3174733	3176085	+	178.3	148	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	bctg00000000	2322074	2323579	-	656.5	410	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Duplicated	bctg00000000	3051661	3052590	+	146.4	192	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
841869at2	Duplicated	bctg00000002	1075441	1076364	+	144.3	192	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Duplicated	bctg00000002	374987	376129	+	380.0	270	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
874197at2	Duplicated	bctg00000000	3528042	3529124	-	377.5	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	bctg00000000	2232738	2233763	+	433.3	311	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	bctg00000000	2074922	2076181	-	609.1	412	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	bctg00000001	1883913	1885409	-	77.3	219	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Duplicated	bctg00000001	2705190	2706053	-	211.2	181	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
