# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	ctg1	814508	818710	-	1682.3	1093	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	ctg1	818740	822918	-	1293.5	797	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	ctg1	1661738	1665478	-	252.8	411	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	ctg1	2068200	2070815	+	569.2	546	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	ctg1	419612	421789	-	760.9	495	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	ctg1	1884699	1886510	+	553.3	454	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	ctg1	242636	244435	-	735.2	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	ctg1	1219155	1220729	+	229.8	293	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	ctg1	150094	152466	+	502.4	470	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	ctg1	2036462	2038279	+	595.6	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	ctg1	1119122	1120405	-	317.2	288	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	ctg1	1670192	1671610	+	268.6	290	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	ctg1	638416	639696	-	408.4	338	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	ctg1	341054	342130	-	195.1	180	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	ctg1	52385	53593	+	294.6	283	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	ctg1	853623	855047	-	575.0	385	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	ctg1	22733	23911	+	164.2	253	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	ctg1	41519	42541	+	426.3	292	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	ctg1	1474970	1476505	+	306.4	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	ctg1	95485	96858	+	210.1	242	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	ctg1	26341	27624	+	379.7	283	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	ctg1	793233	794237	-	242.1	207	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	ctg1	257594	259312	-	751.0	540	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	ctg1	521761	523707	-	190.2	318	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	ctg1	294185	294868	-	244.4	208	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	ctg1	855924	857462	-	663.0	406	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	ctg1	1882486	1883415	+	155.5	187	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	ctg1	554562	555566	-	423.5	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	ctg1	1671597	1672658	+	449.2	312	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	ctg1	1674974	1676236	+	646.0	414	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	ctg1	1974361	1975665	+	91.3	249	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	ctg1	804521	805351	-	230.8	175	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	ctg1	951743	952837	+	236.0	267	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	ctg1	131684	132583	+	221.4	213	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	ctg1	6892	7932	+	248.7	223	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	ctg1	278663	279853	-	445.8	306	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	ctg1	414664	416490	-	272.7	338	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	ctg1	264989	265714	-	159.8	158	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	ctg1	1673299	1674828	+	605.8	437	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	ctg1	244474	245535	-	365.1	327	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	ctg1	246969	247898	-	132.4	147	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	ctg1	197572	199236	-	249.2	443	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	ctg1	2049178	2050218	+	390.8	259	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	ctg1	1	1371	+	302.4	323	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	ctg1	803182	803850	-	205.9	160	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	ctg1	2145416	2146402	+	239.5	263	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	ctg1	335717	336658	-	102.9	120	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	ctg1	778094	778681	-	183.5	163	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	ctg1	76638	77669	+	228.8	232	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	ctg1	23913	24683	+	329.2	248	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	ctg1	806312	806953	-	165.7	161	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	ctg1	2141101	2142033	+	117.1	162	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	ctg1	281754	282959	-	324.6	291	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	ctg1	260410	261426	-	128.3	174	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	ctg1	799687	800232	-	160.4	147	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	ctg1	288637	289635	-	238.7	259	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	ctg1	800957	801496	-	226.2	142	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	ctg1	827069	827566	-	90.3	112	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	ctg1	234102	234833	-	43.7	93	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	ctg1	796264	796827	-	144.1	129	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	ctg1	562793	563290	-	26.9	26	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	ctg1	283232	283861	-	246.9	187	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	ctg1	334782	335714	-	158.1	218	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	ctg1	798767	799270	-	223.4	148	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	ctg1	810787	811257	-	205.1	133	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	ctg1	796840	798102	-	332.6	326	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	ctg1	805662	806285	-	124.2	113	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	ctg1	206067	206471	-	107.5	137	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	ctg1	1211228	1211980	-	65.0	88	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Missing
1595498at2	Complete	ctg1	342148	342606	-	41.1	40	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	ctg1	266556	267308	-	274.2	187	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Complete	ctg1	972895	973491	-	153.4	151	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	ctg1	803867	804202	-	114.7	85	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	ctg1	827742	828452	-	219.2	166	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	ctg1	264423	264983	-	173.8	135	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	ctg1	529488	530066	-	129.5	133	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	ctg1	800257	800643	-	191.5	130	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	ctg1	144139	144480	+	127.5	89	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	ctg1	855066	855920	-	165.7	148	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	ctg1	828529	828954	-	121.7	104	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	ctg1	811310	811684	-	180.4	100	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	ctg1	794308	794697	-	158.4	96	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Complete	ctg1	108847	109317	+	197.4	140	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Missing
1760144at2	Complete	ctg1	2082918	2083466	+	93.0	94	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	ctg1	775185	775577	-	123.9	98	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	ctg1	794717	795085	-	145.1	99	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	ctg1	1641983	1642267	+	65.0	70	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	ctg1	802745	803182	-	158.1	102	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
