# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	ptg000001c	112472	116110	+	1667.2	1052	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	ptg000001c	108722	112294	+	1250.2	799	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	ptg000001c	39582	43307	+	265.3	381	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	ptg000001c	618893	621511	+	527.3	615	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	ptg000001c	1367674	1369665	-	746.2	510	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	ptg000001c	541827	543671	+	537.5	441	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	ptg000001c	1458021	1459856	-	743.4	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	ptg000001c	1	1356	+	277.0	261	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	ptg000001c	1067710	1069851	-	525.7	463	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	ptg000001c	2167208	2168956	-	601.8	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	ptg000001c	2114330	2115622	-	330.8	291	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	ptg000001c	43476	44939	+	278.1	279	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	ptg000001c	370863	372140	-	421.6	352	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	ptg000001c	390736	391914	+	140.8	183	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	ptg000001c	104639	105895	-	330.5	295	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	ptg000001c	792281	793687	+	567.5	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	ptg000001c	1973828	1975024	-	164.6	223	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	ptg000001c	797853	798896	+	416.6	291	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	ptg000001c	1026350	1027912	+	308.9	235	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	ptg000001c	2085954	2087201	-	215.7	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	ptg000001c	1543640	1544938	-	377.5	310	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	ptg000001c	75666	76604	+	247.4	232	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	ptg000001c	230368	232224	+	755.5	542	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	ptg000001c	1706504	1708507	-	191.3	288	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	ptg000001c	1321459	1322139	-	263.1	203	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	ptg000001c	789816	791321	+	658.3	406	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	ptg000001c	1165808	1166710	-	146.0	197	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	ptg000001c	2139053	2140051	-	405.9	273	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	ptg000001c	44984	46003	+	435.1	313	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	ptg000001c	125815	127077	+	582.9	414	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	ptg000001c	312283	313566	+	74.7	242	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	ptg000001c	64553	65386	+	233.2	207	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	ptg000001c	1308343	1309509	-	255.0	264	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	ptg000001c	1681223	1682119	-	230.5	217	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	ptg000001c	549437	550762	+	245.1	219	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	ptg000001c	766344	767534	+	417.3	307	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	ptg000001c	893346	895175	+	259.3	332	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	ptg000001c	1689435	1690172	-	146.9	154	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	ptg000001c	46780	48327	+	581.0	436	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	ptg000001c	2201466	2202587	-	459.7	328	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Fragmented	ptg000001c	811552	812439	+	142.1	146	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	ptg000001c	575899	577557	+	282.0	398	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	ptg000001c	2149723	2150877	-	365.8	263	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	ptg000001c	544189	545544	+	308.7	357	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	ptg000001c	66134	66787	+	204.2	160	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	ptg000001c	425719	426732	+	220.2	259	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	ptg000001c	1129068	1129946	-	117.7	121	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
