# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	ptg000001c	1530634	1534272	-	1667.2	1052	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	ptg000001c	1534450	1538022	-	1250.2	799	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	ptg000001c	1603437	1607162	-	265.3	381	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	ptg000001c	1025233	1027851	-	527.3	615	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	ptg000001c	277079	279070	+	746.2	510	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	ptg000001c	1103073	1104917	-	537.5	441	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	ptg000001c	186888	188723	+	743.4	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	ptg000001c	1645388	1646743	-	277.0	261	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	ptg000001c	576893	579034	+	525.7	463	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	ptg000001c	1726403	1728151	+	601.8	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	ptg000001c	1779737	1781029	+	330.8	291	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	ptg000001c	1601805	1603268	-	278.1	279	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	ptg000001c	1274604	1275881	+	421.6	352	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	ptg000001c	1254830	1256008	-	140.8	183	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	ptg000001c	1540849	1542105	+	330.5	295	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
