# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	contig_12	382035	386318	-	1691.1	1205	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	contig_12	386465	390277	-	1170.2	805	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	contig_12	4533462	4537166	+	206.5	363	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	contig_12	1702178	1704796	-	548.0	538	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Missing
143460at2	Complete	contig_12	615767	617566	-	518.3	459	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Missing
219876at2	Complete	contig_12	5183811	5185238	+	246.0	264	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	contig_12	566243	568588	+	506.2	457	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	contig_12	3644214	3645971	+	575.2	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	contig_12	4680304	4681575	-	306.9	276	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Duplicated	contig_12	3909477	3911360	-	159.2	285	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
267682at2	Duplicated	contig_12	2287158	2288564	-	145.3	264	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	contig_12	2014231	2015505	-	352.3	357	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	contig_12	1044303	1045565	+	150.0	180	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	contig_12	886785	888077	+	333.0	298	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	contig_12	3264601	3266118	+	538.7	389	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	contig_12	4450031	4451290	+	150.9	227	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	contig_12	4446886	4447905	+	372.9	293	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	contig_12	1960783	1962306	+	302.5	229	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
