assembler,sample,length
canu circ.,veillonella,2146451
canu,veillonella,2162755
flye circ.,veillonella,2146421
flye,veillonella,2146500
hifiasm circ.,veillonella,348701
hifiasm circ.,veillonella,1863319
hifiasm,veillonella,24672
hifiasm,veillonella,30089
hifiasm,veillonella,97661
hifiasm,veillonella,105051
hifiasm,veillonella,151594
hifiasm,veillonella,155454
hifiasm,veillonella,162396
hifiasm,veillonella,195242
hifiasm,veillonella,210649
hifiasm,veillonella,455947
hifiasm,veillonella,604519
necat circ.,veillonella,2148904
necat,veillonella,2149701
pecat circ.,veillonella,2148660
pecat,veillonella,2149000
unicycler circ.,veillonella,14303
unicycler circ.,veillonella,29875
unicycler circ.,veillonella,34337
unicycler circ.,veillonella,39580
unicycler circ.,veillonella,45997
unicycler circ.,veillonella,65143
unicycler circ.,veillonella,505379
unicycler circ.,veillonella,1700204
unicycler,veillonella,14303
unicycler,veillonella,29875
unicycler,veillonella,34337
unicycler,veillonella,39580
unicycler,veillonella,45997
unicycler,veillonella,65143
unicycler,veillonella,295897
unicycler,veillonella,505379
unicycler,veillonella,1423044
