# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	ctg1	1581084	1582973	+	904.0	522	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	ctg1	1200546	1203812	-	1233.4	770	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	ctg1	264983	267250	+	335.9	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Fragmented	ctg1	132958	134421	+	367.7	330	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	ctg2	1149603	1151618	+	717.1	474	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Duplicated	ctg1	2125842	2127635	+	526.5	444	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
143460at2	Duplicated	ctg2	243610	245295	+	494.4	431	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	ctg1	1640516	1642324	+	727.4	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	ctg3	914497	916011	-	288.9	264	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	ctg1	842010	844646	+	499.5	475	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	ctg1	3699145	3700929	-	595.9	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	ctg1	2939142	2940485	-	310.3	306	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	ctg1	3151361	3152836	-	278.5	280	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	ctg1	1943232	1944524	+	391.8	382	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	ctg1	2871129	2872277	+	143.6	185	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Duplicated	ctg2	670431	671753	+	256.9	287	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
402899at2	Duplicated	ctg1	1137681	1138895	+	254.6	285	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
