# BUSCO version is: 5.4.6 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Fragmented	tig00000003	2363672	2365561	-	904.0	522	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	tig00000003	2742689	2745955	+	1233.4	770	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	tig00000003	3679095	3681362	-	335.9	391	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	tig00000003	3810714	3813359	-	532.2	550	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	tig00000003	3954795	3956795	+	720.9	478	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	tig00000003	1814769	1816562	-	526.5	444	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Duplicated	tig00000003	2304339	2306147	-	729.7	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
182107at2	Duplicated	tig00000010	4065613	4067424	-	720.6	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Fragmented	tig00000010	3077162	3078049	+	208.5	208	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	tig00000003	3101773	3104409	-	499.5	475	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Duplicated	tig00000010	1743266	1745065	-	598.6	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
226836at2	Duplicated	tig00000003	241941	243725	+	595.9	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	tig00000003	1002155	1003513	+	317.4	310	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	tig00000003	789821	791296	+	278.5	280	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	tig00000003	2002163	2003455	-	391.8	382	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	tig00000003	1070331	1071479	-	143.6	185	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Duplicated	tig00000003	2807606	2808820	-	257.9	285	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
402899at2	Duplicated	tig00000010	1120720	1122042	+	256.9	287	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Duplicated	tig00000003	3526828	3528276	-	560.2	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
430176at2	Duplicated	tig00000010	3598783	3600234	+	555.4	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Duplicated	tig00000010	3002659	3003864	+	171.4	206	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
462069at2	Duplicated	tig00000003	1479948	1481147	-	171.1	205	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Duplicated	tig00000003	1806678	1807673	-	400.4	292	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
