# BUSCO version is: 5.4.6 
# The lineage dataset is: euglenozoa_odb10 (Creation date: 2020-08-05, number of genomes: 31, number of BUSCOs: 130)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
126at33682	Complete	bctg00000017	490541	500142	+	3411.0	1928	https://www.orthodb.org/v10?query=126at33682	phosphatidylinositol 3-kinase
140at33682	Complete	bctg00000034	383551	391431	+	3179.7	2120	https://www.orthodb.org/v10?query=140at33682	FKBP12-rapamycin binding domain
184at33682	Complete	bctg00000034	138996	144555	+	1278.7	902	https://www.orthodb.org/v10?query=184at33682	Putative RNA editing associated helicase 2
199at33682	Complete	bctg00000001	1971971	1977113	-	2234.8	1356	https://www.orthodb.org/v10?query=199at33682	acetyl-CoA carboxylase
206at33682	Complete	bctg00000021	225591	231752	+	3073.0	1657	https://www.orthodb.org/v10?query=206at33682	Putative RNA helicase
363at33682	Complete	bctg00000022	426674	431721	-	896.8	889	https://www.orthodb.org/v10?query=363at33682	putative RNA helicase
395at33682	Fragmented	bctg00000006	41389	43701	+	786.8	561	https://www.orthodb.org/v10?query=395at33682	Pantothenate kinase subunit, putative
408at33682	Complete	bctg00000011	625452	630897	-	1143.8	1056	https://www.orthodb.org/v10?query=408at33682	Putativedeath-receptorfusionprotein(DUF2428)-putative/Pfam
442at33682	Fragmented	bctg00000000	1215296	1220403	-	1062.9	841	https://www.orthodb.org/v10?query=442at33682	Hypotheticalprotein-conserved
454at33682	Complete	bctg00000004	1047773	1053069	-	1218.4	1085	https://www.orthodb.org/v10?query=454at33682	Sec7 domain
467at33682	Complete	bctg00000002	414050	418624	+	1522.4	1100	https://www.orthodb.org/v10?query=467at33682	HECT-domain(Ubiquitin-transferase)-putative/Pfam
608at33682	Complete	bctg00000007	301701	305983	+	1450.4	942	https://www.orthodb.org/v10?query=608at33682	Putative NFX1-type zinc finger-containing protein 1-like
863at33682	Complete	bctg00000020	49634	53650	-	1760.1	1014	https://www.orthodb.org/v10?query=863at33682	DNA polymerase
884at33682	Fragmented	bctg00000034	406416	409776	+	676.9	763	https://www.orthodb.org/v10?query=884at33682	HECT-domain(Ubiquitin-transferase)-putative/Pfam
965at33682	Complete	bctg00000024	95991	99703	-	1814.3	1029	https://www.orthodb.org/v10?query=965at33682	Cation-transporting ATPase
1175at33682	Complete	bctg00000020	44183	47888	-	1612.0	1001	https://www.orthodb.org/v10?query=1175at33682	WD40-repeat-containing domain
1207at33682	Complete	bctg00000000	326143	331237	+	1219.5	982	https://www.orthodb.org/v10?query=1207at33682	Cyclic nucleotide-binding domain
1392at33682	Complete	bctg00000014	184878	188247	+	842.9	623	https://www.orthodb.org/v10?query=1392at33682	argonaute-like protein
1408at33682	Complete	bctg00000006	613234	616632	-	871.2	557	https://www.orthodb.org/v10?query=1408at33682	Pseudouridine synthase, TruD
1439at33682	Complete	bctg00000007	73323	76397	-	1107.9	709	https://www.orthodb.org/v10?query=1439at33682	Condensin complex subunit 3
1528at33682	Complete	bctg00000007	1101635	1105912	+	1236.5	941	https://www.orthodb.org/v10?query=1528at33682	SNF2-related, N-terminal domain
1572at33682	Complete	bctg00000006	106382	108973	+	1233.5	684	https://www.orthodb.org/v10?query=1572at33682	Exosome complex exonuclease DIS3/RRP44
1732at33682	Complete	bctg00000009	164908	167946	-	1021.7	670	https://www.orthodb.org/v10?query=1732at33682	WD40 repeat
1814at33682	Complete	bctg00000023	387524	389847	-	452.7	406	https://www.orthodb.org/v10?query=1814at33682	acyl-CoA binding protein
1820at33682	Fragmented	bctg00000009	842831	844642	-	917.7	491	https://www.orthodb.org/v10?query=1820at33682	helicase-like protein
