# BUSCO version is: 5.4.6 
# The lineage dataset is: euglenozoa_odb10 (Creation date: 2020-08-05, number of genomes: 31, number of BUSCOs: 130)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
126at33682	Complete	contig_102	500249	509232	+	3222.2	1823	https://www.orthodb.org/v10?query=126at33682	phosphatidylinositol 3-kinase
140at33682	Complete	contig_103	167397	174950	-	3108.4	2053	https://www.orthodb.org/v10?query=140at33682	FKBP12-rapamycin binding domain
184at33682	Complete	contig_103	414530	420089	-	1399.2	957	https://www.orthodb.org/v10?query=184at33682	Putative RNA editing associated helicase 2
199at33682	Complete	contig_673	77387	83890	+	3229.8	1759	https://www.orthodb.org/v10?query=199at33682	acetyl-CoA carboxylase
206at33682	Fragmented	contig_344	503429	506623	-	1679.2	902	https://www.orthodb.org/v10?query=206at33682	Putative RNA helicase
363at33682	Complete	contig_710	273211	279011	+	1153.7	1087	https://www.orthodb.org/v10?query=363at33682	putative RNA helicase
395at33682	Fragmented	contig_577	1188534	1190831	-	759.6	556	https://www.orthodb.org/v10?query=395at33682	Pantothenate kinase subunit, putative
408at33682	Complete	contig_436	73406	78851	+	1234.8	1048	https://www.orthodb.org/v10?query=408at33682	Putativedeath-receptorfusionprotein(DUF2428)-putative/Pfam
442at33682	Complete	contig_682	370403	374894	+	1389.5	1042	https://www.orthodb.org/v10?query=442at33682	Hypotheticalprotein-conserved
454at33682	Complete	contig_230	195241	200865	+	1255.1	1169	https://www.orthodb.org/v10?query=454at33682	Sec7 domain
467at33682	Complete	contig_264	1110093	1114670	-	1358.2	930	https://www.orthodb.org/v10?query=467at33682	HECT-domain(Ubiquitin-transferase)-putative/Pfam
608at33682	Fragmented	contig_33	880683	885486	-	1041.1	707	https://www.orthodb.org/v10?query=608at33682	Putative NFX1-type zinc finger-containing protein 1-like
863at33682	Complete	contig_115	649481	653419	+	1739.5	992	https://www.orthodb.org/v10?query=863at33682	DNA polymerase
884at33682	Fragmented	contig_103	149081	152409	-	583.9	697	https://www.orthodb.org/v10?query=884at33682	HECT-domain(Ubiquitin-transferase)-putative/Pfam
965at33682	Complete	contig_86	567772	570838	+	1559.5	858	https://www.orthodb.org/v10?query=965at33682	Cation-transporting ATPase
1175at33682	Complete	contig_115	655239	658130	+	1396.8	836	https://www.orthodb.org/v10?query=1175at33682	WD40-repeat-containing domain
1207at33682	Complete	contig_682	1243981	1249357	-	1195.6	998	https://www.orthodb.org/v10?query=1207at33682	Cyclic nucleotide-binding domain
